##NAMES=Alluaudite
##RRUFFID=R160082
##IDEAL CHEMISTRY=[box]NaMn^2+^Fe^3+^_2_(PO_4_)_3_
##LOCALITY=Custer, South Dakota, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Dark green massive, associated with muscovite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160082
276.1623, 31.86116
276.6444, 31.36556
277.1265, 31.10678
277.6086, 31.10723
278.0907, 30.95052
278.5728, 30.60629
279.0550, 30.15879
279.5371, 29.81799
280.0192, 29.62928
280.5013, 29.17255
280.9834, 28.12571
281.4655, 26.50844
281.9477, 25.19965
282.4298, 24.31092
282.9119, 23.46967
283.3940, 22.04867
283.8761, 20.02925
284.3582, 18.17597
284.8404, 16.85495
285.3225, 15.96870
285.8046, 14.87538
286.2867, 13.53213
286.7688, 12.23621
287.2509, 11.40935
287.7331, 11.01651
288.2152, 10.56152
288.6973, 9.874268
289.1794, 9.014648
289.6615, 8.146965
290.1436, 7.254768
290.6258, 6.467323
291.1079, 5.988472
291.5900, 5.750931
292.0721, 5.355316
292.5542, 4.606285
293.0363, 3.737762
293.5185, 3.268990
294.0006, 3.192497
294.4827, 3.226585
294.9648, 3.191780
295.4469, 3.092743
295.9290, 2.939774
296.4112, 2.713013
296.8933, 2.463364
297.3754, 2.264061
297.8575, 2.113419
298.3396, 1.995972
298.8217, 1.975304
299.3039, 1.971527
299.7860, 1.801025
300.2681, 1.396767
300.7502, 0.9517590
301.2323, 0.7081600
301.7144, 0.6189650
302.1966, 0.5433960
302.6787, 0.4319760
303.1608, 0.2750320
303.6429, 6.1869998E-03
304.1250, 0.4006960
304.6071, 0.7365800
305.0893, 0.7728880
305.5714, 0.5947040
306.0535, 0.3753050
306.5356, 2.6931999E-02
307.0177, 0.3062360
307.4998, 2.2209000E-02
307.9820, 0.9741970
308.4641, 1.730759
308.9462, 1.529587
309.4283, 0.8214040
309.9104, 0.2177430
310.3925, 9.3231000E-02
310.8747, 0.1907120
311.3568, 1.9699000E-02
311.8389, 0.3800960
312.3210, 0.7148590
312.8031, 0.8018800
313.2852, 0.7600330
313.7674, 0.7044980
314.2495, 0.6757050
314.7316, 0.6263890
315.2137, 0.5686340
315.6958, 0.4799500
316.1779, 0.2838820
316.6601, 0.1587910
317.1422, 0.6495440
317.6243, 1.069962
318.1064, 1.420990
318.5885, 1.642227
319.0706, 1.478668
319.5528, 1.183533
320.0349, 1.247757
320.5170, 2.240120
320.9991, 3.267715
321.4812, 3.911438
321.9633, 4.018707
322.4455, 4.170723
322.9276, 4.498413
323.4097, 4.928673
323.8918, 5.371826
324.3739, 5.827454
324.8560, 6.282707
325.3382, 6.724525
325.8203, 7.149399
326.3024, 7.614731
326.7845, 8.104836
327.2666, 8.650925
327.7487, 9.281380
328.2309, 10.15464
328.7130, 10.91852
329.1951, 11.48116
329.6772, 11.86934
330.1593, 12.35632
330.6414, 13.01897
331.1236, 13.70149
331.6057, 14.31179
332.0878, 14.72481
332.5699, 15.29472
333.0520, 16.08794
333.5341, 17.02980
334.0163, 17.93343
334.4984, 18.86886
334.9805, 19.63217
335.4626, 20.07037
335.9447, 20.01591
336.4268, 20.32956
336.9090, 21.18149
337.3911, 22.23151
337.8732, 22.88591
338.3553, 23.01229
338.8374, 23.21645
339.3195, 23.76749
339.8017, 24.64071
340.2838, 25.15992
340.7659, 25.24400
341.2480, 25.18565
341.7301, 25.32128
342.2122, 25.67239
342.6944, 25.88607
343.1765, 25.83981
343.6586, 25.62004
344.1407, 25.54324
344.6228, 25.62370
345.1049, 25.68374
345.5871, 25.51354
346.0692, 25.16272
346.5513, 25.01025
347.0334, 25.13084
347.5155, 25.41081
347.9977, 25.69115
348.4798, 25.97244
348.9619, 26.24780
349.4440, 26.49032
349.9261, 26.72690
350.4082, 27.01645
350.8904, 27.36225
351.3725, 27.76152
351.8546, 28.25394
352.3367, 28.80402
352.8188, 29.32215
353.3009, 29.85615
353.7831, 30.29210
354.2652, 30.38010
354.7473, 30.14088
355.2294, 30.01379
355.7115, 30.53326
356.1936, 31.29140
356.6758, 31.72519
357.1579, 31.39464
357.6400, 31.05045
358.1221, 31.27460
358.6042, 31.95032
359.0863, 32.65932
359.5685, 33.41207
360.0506, 33.98367
360.5327, 34.12855
361.0148, 33.60058
361.4969, 33.18851
361.9790, 33.33459
362.4612, 33.77943
362.9433, 34.12743
363.4254, 34.27955
363.9075, 34.32006
364.3896, 34.32893
364.8717, 34.31743
365.3539, 34.03876
365.8360, 33.11558
366.3181, 32.01215
366.8002, 31.17753
367.2823, 30.92626
367.7644, 30.68937
368.2466, 30.38387
368.7287, 29.99604
369.2108, 29.55639
369.6929, 29.07249
370.1750, 28.55011
370.6571, 27.97189
371.1393, 27.25762
371.6214, 26.53378
372.1035, 25.79413
372.5856, 25.07777
373.0677, 24.46066
373.5498, 23.93865
374.0320, 23.54113
374.5141, 23.35513
374.9962, 23.42202
375.4783, 23.21430
375.9604, 22.66231
376.4425, 21.95416
376.9247, 21.25646
377.4068, 20.54384
377.8889, 20.07830
378.3710, 19.98312
378.8531, 20.14961
379.3352, 20.18031
379.8174, 20.08074
380.2995, 19.89250
380.7816, 19.53840
381.2637, 19.05560
381.7458, 18.88274
382.2279, 19.15730
382.7101, 19.60777
383.1922, 19.78994
383.6743, 19.73854
384.1564, 19.67124
384.6385, 19.71484
385.1206, 19.82222
385.6028, 19.83059
386.0849, 19.71107
386.5670, 19.75448
387.0491, 20.45994
387.5312, 21.51095
388.0133, 22.27706
388.4955, 22.32060
388.9776, 22.15474
389.4597, 22.24712
389.9418, 22.56006
390.4239, 22.86814
390.9060, 23.16031
391.3882, 23.32248
391.8703, 23.19919
392.3524, 22.57030
392.8345, 22.05224
393.3166, 22.04517
393.7987, 22.35345
394.2809, 22.58536
394.7630, 22.66154
395.2451, 22.59229
395.7272, 22.31723
396.2093, 21.78418
396.6914, 21.37231
397.1736, 21.36581
397.6557, 21.41300
398.1378, 21.18896
398.6199, 20.13927
399.1020, 19.41280
399.5841, 19.31473
400.0663, 19.73325
400.5484, 19.92109
401.0305, 19.77082
401.5126, 19.50667
401.9947, 19.24091
402.4768, 19.03564
402.9590, 18.71016
403.4411, 18.32980
403.9232, 17.78455
404.4053, 16.80682
404.8874, 15.22163
405.3695, 13.73123
405.8517, 12.57934
406.3338, 11.74991
406.8159, 10.82027
407.2980, 9.761955
407.7801, 8.699013
408.2622, 7.743111
408.7444, 6.889061
409.2265, 6.147820
409.7086, 5.528740
410.1907, 5.008667
410.6728, 4.552216
411.1549, 4.153351
411.6371, 3.779617
412.1192, 3.379944
412.6013, 2.997871
413.0834, 2.768188
413.5655, 2.721581
414.0476, 2.680252
414.5298, 2.434898
415.0119, 2.069870
415.4940, 1.746490
415.9761, 1.551506
416.4582, 1.413208
416.9403, 1.324471
417.4225, 1.265877
417.9046, 1.115623
418.3867, 0.6508180
418.8688, 0.1552660
419.3509, 0.1034390
419.8330, 3.7703998E-02
420.3152, 0.1717610
420.7973, 0.1207730
421.2794, 3.9078001E-02
421.7615, 0.1703680
422.2436, 0.2300910
422.7257, 0.2619400
423.2079, 0.2910540
423.6900, 0.3242070
424.1721, 0.2937320
424.6542, 0.1145480
425.1363, 8.0208004E-02
425.6184, 0.1996650
426.1006, 0.2973020
426.5827, 0.2175940
427.0648, 0.2078590
427.5469, 0.8151090
428.0290, 1.002312
428.5111, 0.6477810
428.9933, 0.1101570
429.4754, 0.5606540
429.9575, 1.449673
430.4396, 1.780247
430.9217, 1.426956
431.4038, 0.7888030
431.8860, 0.3469620
432.3681, 0.1065560
432.8502, 7.2117001E-02
433.3323, 0.2063180
433.8144, 0.3153340
434.2965, 0.4893990
434.7787, 0.7253460
435.2608, 0.8725970
435.7429, 0.7486760
436.2250, 0.4574130
436.7071, 0.2731020
437.1892, 0.2474020
437.6714, 0.2424770
438.1535, 0.1755520
438.6356, 1.7761000E-02
439.1177, 0.2963680
439.5998, 0.9211770
440.0819, 1.626022
440.5641, 2.224178
441.0462, 2.719540
441.5283, 3.188126
442.0104, 3.573498
442.4925, 3.999584
442.9746, 4.576054
443.4568, 5.408512
443.9389, 6.245243
444.4210, 7.040798
444.9031, 7.784451
445.3852, 8.458645
445.8673, 8.964062
446.3495, 9.483765
446.8316, 10.08594
447.3137, 10.78817
447.7958, 11.46995
448.2779, 12.13594
448.7600, 12.77306
449.2422, 13.35797
449.7243, 13.82516
450.2064, 14.40015
450.6885, 15.18226
451.1706, 16.05545
451.6527, 16.64420
452.1349, 16.85596
452.6170, 17.12610
453.0991, 17.72206
453.5812, 18.62713
454.0633, 19.20283
454.5454, 19.41955
455.0276, 19.48061
455.5097, 19.54822
455.9918, 19.63136
456.4739, 19.79768
456.9560, 20.10076
457.4381, 20.43911
457.9203, 20.66373
458.4024, 20.78408
458.8845, 20.84559
459.3666, 20.77689
459.8488, 20.71011
460.3309, 20.82641
460.8130, 21.15004
461.2951, 21.53320
461.7772, 21.84380
462.2593, 22.16262
462.7415, 22.58112
463.2236, 23.23163
463.7057, 23.88365
464.1878, 24.35500
464.6699, 24.73020
465.1520, 25.31964
465.6342, 26.39940
466.1163, 27.53367
466.5984, 28.49968
467.0805, 29.11572
467.5626, 30.04388
468.0447, 31.58291
468.5269, 33.25518
469.0090, 34.57447
469.4911, 35.29648
469.9732, 36.14214
470.4553, 37.19475
470.9374, 38.39576
471.4196, 39.76135
471.9017, 41.35777
472.3838, 42.99662
472.8659, 44.61443
473.3480, 46.20396
473.8301, 47.71111
474.3123, 49.16558
474.7944, 50.41381
475.2765, 51.14254
475.7586, 51.45797
476.2407, 51.92487
476.7228, 52.87865
477.2050, 53.85189
477.6871, 54.02134
478.1692, 53.55093
478.6513, 53.19001
479.1334, 53.64002
479.6155, 54.26464
480.0977, 54.38407
480.5798, 53.89413
481.0619, 53.26782
481.5440, 52.55402
482.0261, 51.93297
482.5082, 51.61757
482.9904, 52.16108
483.4725, 52.49598
483.9546, 52.29268
484.4367, 51.60838
484.9188, 50.68957
485.4009, 49.24792
485.8831, 47.85196
486.3652, 46.78902
486.8473, 46.25895
487.3294, 45.37346
487.8115, 43.93911
488.2936, 42.31021
488.7758, 40.83431
489.2579, 39.55600
489.7400, 38.27218
490.2221, 36.97456
490.7042, 35.62154
491.1863, 34.06950
491.6685, 32.27558
492.1506, 30.65691
492.6327, 29.62299
493.1148, 29.00343
493.5969, 27.99269
494.0790, 26.53865
494.5612, 25.10538
495.0433, 24.20216
495.5254, 23.64371
496.0075, 23.00360
496.4896, 22.14137
496.9717, 21.21186
497.4539, 20.26096
497.9360, 19.35456
498.4181, 18.70734
498.9002, 18.75209
499.3823, 18.81564
499.8644, 18.42675
500.3466, 17.51447
500.8287, 16.63849
501.3108, 15.93189
501.7929, 15.34718
502.2750, 14.85036
502.7571, 14.48035
503.2393, 14.13534
503.7214, 13.81274
504.2035, 13.51210
504.6856, 13.21893
505.1677, 12.88860
505.6498, 12.65929
506.1320, 12.62361
506.6141, 12.76751
507.0962, 12.69313
507.5783, 12.35067
508.0604, 11.95988
508.5425, 11.72845
509.0247, 11.63856
509.5068, 11.42185
509.9889, 11.00598
510.4710, 10.58465
510.9531, 10.55322
511.4352, 10.78127
511.9174, 10.78336
512.3995, 9.994762
512.8816, 9.112804
513.3637, 9.166061
513.8458, 9.975792
514.3279, 10.46639
514.8101, 9.687008
515.2922, 8.521175
515.7743, 7.687508
516.2564, 7.379616
516.7385, 7.105236
517.2206, 6.662086
517.7028, 6.178440
518.1849, 5.802795
518.6670, 5.781422
519.1491, 5.608303
519.6312, 5.098106
520.1133, 4.361328
520.5955, 3.865509
521.0776, 3.787155
521.5597, 3.664425
522.0418, 3.274662
522.5239, 2.581631
523.0060, 1.994701
523.4882, 1.509384
523.9703, 1.132526
524.4524, 0.8944590
524.9345, 0.7893790
525.4166, 0.7334330
525.8987, 0.7478140
526.3809, 0.7287060
526.8630, 0.3785170
527.3451, 0.1948550
527.8272, 0.5400350
528.3093, 0.1344950
528.7914, 0.4386020
529.2736, 0.4882770
529.7557, 3.3863001E-02
530.2378, 0.4467960
530.7199, 0.7394260
531.2020, 0.9136390
531.6841, 1.012520
532.1663, 1.009930
532.6484, 1.014446
533.1305, 1.102039
533.6126, 1.199287
534.0947, 1.200272
534.5768, 0.9288440
535.0590, 0.7705080
535.5411, 0.8613590
536.0232, 1.136475
536.5053, 1.176071
536.9874, 0.8701130
537.4695, 0.5712390
537.9517, 0.4885790
538.4338, 0.6365130
538.9159, 0.6730920
539.3980, 0.5854420
539.8801, 0.4388770
540.3622, 0.3117790
540.8444, 0.1928560
541.3265, 8.6559998E-03
541.8086, 0.2936100
542.2907, 0.5961690
542.7728, 0.6485180
543.2549, 0.5626950
543.7371, 0.6583140
544.2192, 1.314938
544.7013, 2.052216
545.1834, 2.546204
545.6655, 2.793076
546.1476, 2.861668
546.6298, 2.502979
547.1119, 2.167061
547.5940, 2.182220
548.0761, 2.842808
548.5582, 3.339771
549.0403, 3.496948
549.5225, 3.519817
550.0046, 3.650196
550.4867, 3.943573
550.9688, 4.229282
551.4509, 4.462669
551.9330, 4.672760
552.4152, 4.976635
552.8973, 5.392982
553.3794, 5.795128
553.8615, 6.066273
554.3436, 6.251812
554.8257, 6.645485
555.3079, 7.255684
555.7900, 7.865376
556.2721, 8.314083
556.7542, 8.610832
557.2363, 8.753689
557.7184, 8.718460
558.2006, 8.600407
558.6827, 8.345371
559.1648, 8.080811
559.6469, 8.017197
560.1290, 8.535782
560.6111, 8.973236
561.0933, 8.965355
561.5754, 8.591187
562.0575, 8.397606
562.5396, 8.688519
563.0217, 8.961468
563.5038, 9.008492
563.9860, 8.765800
564.4681, 8.585590
564.9502, 8.454369
565.4323, 8.405560
565.9144, 8.522049
566.3965, 8.829079
566.8787, 8.965336
567.3608, 8.802052
567.8429, 8.601871
568.3250, 8.897869
568.8071, 9.606964
569.2892, 10.27174
569.7714, 10.61316
570.2535, 10.84395
570.7356, 11.24985
571.2177, 11.81248
571.6998, 12.38628
572.1819, 12.90623
572.6641, 13.40276
573.1462, 13.85012
573.6283, 14.20297
574.1104, 14.76427
574.5925, 15.81222
575.0746, 17.01203
575.5568, 18.07458
576.0389, 18.60088
576.5210, 19.49059
577.0031, 20.91248
577.4852, 22.66948
577.9673, 24.36975
578.4495, 26.01029
578.9316, 27.65054
579.4137, 29.28173
579.8958, 30.92065
580.3779, 32.79123
580.8600, 34.89514
581.3422, 37.02642
581.8243, 38.93552
582.3064, 40.79255
582.7885, 42.97444
583.2706, 45.53166
583.7527, 48.20445
584.2349, 50.79980
584.7170, 53.40348
585.1991, 56.10175
585.6812, 59.02385
586.1633, 61.98392
586.6454, 64.90881
587.1276, 67.78967
587.6097, 70.59417
588.0918, 73.09000
588.5739, 75.77634
589.0560, 78.91738
589.5381, 82.40969
590.0203, 85.49994
590.5024, 88.21466
590.9845, 90.48137
591.4666, 92.28120
591.9487, 93.63515
592.4308, 94.34609
592.9130, 94.38266
593.3951, 93.89455
593.8772, 93.04764
594.3593, 91.82011
594.8414, 90.05861
595.3235, 87.68587
595.8057, 84.98132
596.2878, 82.15337
596.7699, 79.20155
597.2520, 76.16563
597.7341, 73.00932
598.2162, 69.78873
598.6984, 66.31213
599.1805, 62.78013
599.6626, 59.68002
600.1447, 57.33290
600.6268, 55.22942
601.1089, 53.23845
601.5911, 51.35858
602.0732, 49.45273
602.5553, 47.42085
603.0374, 45.54830
603.5195, 44.12366
604.0016, 43.19397
604.4838, 42.11634
604.9659, 40.80898
605.4480, 39.54390
605.9301, 38.64843
606.4122, 38.09592
606.8943, 37.79219
607.3765, 37.80167
607.8586, 37.89020
608.3407, 37.84247
608.8228, 37.67175
609.3049, 37.41227
609.7870, 36.94588
610.2692, 36.51030
610.7513, 36.20206
611.2334, 36.02801
611.7155, 36.01473
612.1976, 36.23992
612.6797, 36.56650
613.1619, 36.92386
613.6440, 37.29991
614.1261, 37.80978
614.6082, 38.53870
615.0903, 39.25983
615.5724, 39.69826
616.0546, 39.83290
616.5367, 40.28748
617.0188, 41.19441
617.5009, 42.27449
617.9830, 43.11432
618.4651, 43.78222
618.9473, 44.51735
619.4294, 45.47900
619.9115, 46.44841
620.3936, 47.19301
620.8757, 47.77258
621.3578, 48.37799
621.8400, 49.07255
622.3221, 49.83201
622.8042, 50.71698
623.2863, 51.73803
623.7684, 52.54402
624.2505, 53.04788
624.7327, 53.35860
625.2148, 53.50972
625.6969, 53.47897
626.1790, 53.37069
626.6611, 53.19344
627.1432, 52.94014
627.6254, 52.66161
628.1075, 52.34230
628.5896, 51.71569
629.0717, 50.73287
629.5538, 49.49174
630.0359, 48.05606
630.5181, 46.49327
631.0002, 44.90858
631.4823, 43.32986
631.9644, 41.72888
632.4465, 40.11587
632.9286, 38.50137
633.4108, 36.88292
633.8929, 35.12967
634.3750, 33.41150
634.8571, 31.81206
635.3392, 30.34550
635.8214, 28.94229
636.3035, 27.54125
636.7856, 26.28701
637.2677, 25.29895
637.7498, 24.62434
638.2319, 23.70303
638.7141, 22.47370
639.1962, 21.29417
639.6783, 20.61079
640.1604, 20.29627
640.6425, 19.87903
641.1246, 19.27187
641.6068, 18.58167
642.0889, 17.82524
642.5710, 17.03489
643.0531, 16.33138
643.5352, 15.86776
644.0173, 15.38766
644.4995, 14.72323
644.9816, 13.96257
645.4637, 13.31161
645.9458, 12.91371
646.4279, 12.49882
646.9100, 11.97440
647.3922, 11.36942
647.8743, 11.09700
648.3564, 11.29996
648.8385, 11.32357
649.3206, 10.61087
649.8027, 9.274044
650.2849, 8.480206
650.7670, 8.253567
651.2491, 8.151947
651.7312, 7.799400
652.2133, 7.313099
652.6954, 6.851398
653.1776, 6.441998
653.6597, 6.046932
654.1418, 5.695793
654.6239, 5.318638
655.1060, 4.829136
655.5881, 3.882294
656.0703, 3.217541
656.5524, 3.134998
657.0345, 3.353046
657.5166, 3.387062
657.9987, 3.176334
658.4808, 2.903458
658.9630, 2.567982
659.4451, 2.227043
659.9272, 2.112370
660.4093, 2.225456
660.8914, 2.304794
661.3735, 2.157204
661.8557, 1.902142
662.3378, 1.817486
662.8199, 1.872383
663.3020, 1.789326
663.7841, 1.143219
664.2662, 0.4515720
664.7484, 0.1833310
665.2305, 0.4662930
665.7126, 0.6906620
666.1947, 0.6942180
666.6768, 0.5929600
667.1589, 0.4565850
667.6411, 0.1742860
668.1232, 0.1259920
668.6053, 0.4328690
669.0874, 0.8254390
669.5695, 0.8908960
670.0516, 0.6186980
670.5338, 0.3244820
671.0159, 3.4687001E-02
671.4980, 0.1748430
671.9801, 0.1121830
672.4622, 0.1311380
672.9443, 0.3015750
673.4265, 0.2087360
673.9086, 8.9428000E-02
674.3907, 0.1441650
674.8728, 0.3089030
675.3549, 0.3860320
675.8370, 0.1354710
676.3192, 2.7023001E-02
676.8013, 0.1491740
677.2834, 0.6183090
677.7655, 0.7536390
678.2476, 0.3914180
678.7297, 3.3340000E-02
679.2119, 1.5190000E-02
679.6940, 0.2211720
680.1761, 0.2155490
680.6582, 5.4042999E-02
681.1403, 0.3341060
681.6224, 0.4384690
682.1046, 0.3961030
682.5867, 0.2731740
683.0688, 8.5320003E-02
683.5509, 0.2546580
684.0330, 1.230598
684.5151, 2.180027
684.9973, 2.400402
685.4794, 1.164413
685.9615, 0.1728780
686.4436, 0.1790120
686.9257, 0.2176480
687.4078, 0.3168220
687.8900, 0.5458530
688.3721, 0.6285020
688.8542, 0.4589420
689.3363, 0.2034260
689.8184, 0.2884640
690.3005, 0.6759300
690.7827, 0.8811230
691.2648, 0.5970540
691.7469, 0.1550250
692.2290, 2.2697000E-02
692.7111, 0.1377140
693.1932, 0.3079490
693.6754, 0.5906260
694.1575, 0.7640910
694.6396, 0.6371880
695.1217, 0.2353550
695.6038, 9.1872998E-02
696.0859, 0.3127630
696.5681, 0.4176640
697.0502, 0.3851200
697.5323, 0.2106860
698.0144, 2.6752001E-02
698.4965, 0.3764880
698.9786, 0.6117670
699.4608, 0.4698790
699.9429, 4.9194001E-02
700.4250, 0.2011380
700.9071, 0.2539410
701.3892, 0.2083240
701.8713, 7.3357001E-02
702.3535, 7.5236998E-02
702.8356, 0.1153720
703.3177, 4.1976999E-02
703.7998, 9.7424001E-02
704.2819, 0.1977540
704.7640, 0.5890920
705.2462, 0.7992210
705.7283, 0.7152670
706.2104, 0.6184120
706.6925, 0.5249440
707.1746, 0.4190790
707.6567, 0.2439380
708.1389, 1.0159000E-02
708.6210, 0.1419220
709.1031, 6.7851998E-02
709.5852, 8.0181003E-02
710.0673, 6.7703001E-02
710.5494, 5.6416001E-02
711.0316, 0.1446270
711.5137, 0.1007390
711.9958, 2.3514001E-02
712.4779, 2.1446001E-02
712.9600, 4.6780001E-02
713.4421, 9.0770997E-02
713.9243, 0.2466740
714.4064, 0.3312640
714.8885, 0.2530860
715.3706, 4.0569000E-02
715.8527, 6.7737997E-02
716.3348, 3.9214998E-02
716.8170, 4.3179998E-03
717.2991, 3.6410999E-02
717.7812, 0.1157490
718.2633, 0.1328740
718.7454, 8.9211002E-02
719.2275, 3.3661000E-02
719.7097, 1.8069999E-02
