##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
2.139692e+002, 4.650413e+003
2.144513e+002, 4.646783e+003
2.149334e+002, 4.641520e+003
2.154155e+002, 4.634541e+003
2.158977e+002, 4.624733e+003
2.163798e+002, 4.615220e+003
2.168619e+002, 4.607522e+003
2.173440e+002, 4.601514e+003
2.178261e+002, 4.597724e+003
2.183082e+002, 4.596930e+003
2.187904e+002, 4.598102e+003
2.192725e+002, 4.598046e+003
2.197546e+002, 4.595894e+003
2.202367e+002, 4.594047e+003
2.207188e+002, 4.593763e+003
2.212009e+002, 4.595385e+003
2.216831e+002, 4.597894e+003
2.221652e+002, 4.601778e+003
2.226473e+002, 4.606505e+003
2.231294e+002, 4.609988e+003
2.236115e+002, 4.610846e+003
2.240936e+002, 4.613007e+003
2.245758e+002, 4.619135e+003
2.250579e+002, 4.632458e+003
2.255400e+002, 4.641584e+003
2.260221e+002, 4.644357e+003
2.265042e+002, 4.643432e+003
2.269863e+002, 4.646101e+003
2.274685e+002, 4.654049e+003
2.279506e+002, 4.663033e+003
2.284327e+002, 4.671123e+003
2.289148e+002, 4.677888e+003
2.293969e+002, 4.684663e+003
2.298790e+002, 4.690509e+003
2.303612e+002, 4.696568e+003
2.308433e+002, 4.705839e+003
2.313254e+002, 4.719276e+003
2.318075e+002, 4.734516e+003
2.322896e+002, 4.750737e+003
2.327717e+002, 4.768327e+003
2.332539e+002, 4.785989e+003
2.337360e+002, 4.804952e+003
2.342181e+002, 4.823179e+003
2.347002e+002, 4.835456e+003
2.351823e+002, 4.837531e+003
2.356644e+002, 4.839807e+003
2.361466e+002, 4.846788e+003
2.366287e+002, 4.861044e+003
2.371108e+002, 4.872962e+003
2.375929e+002, 4.882534e+003
2.380750e+002, 4.889599e+003
2.385571e+002, 4.893446e+003
2.390393e+002, 4.892557e+003
2.395214e+002, 4.890935e+003
2.400035e+002, 4.890063e+003
2.404856e+002, 4.890384e+003
2.409677e+002, 4.890503e+003
2.414498e+002, 4.891429e+003
2.419320e+002, 4.891796e+003
2.424141e+002, 4.889016e+003
2.428962e+002, 4.882118e+003
2.433783e+002, 4.873854e+003
2.438604e+002, 4.864630e+003
2.443425e+002, 4.853475e+003
2.448247e+002, 4.845448e+003
2.453068e+002, 4.842294e+003
2.457889e+002, 4.841243e+003
2.462710e+002, 4.837504e+003
2.467531e+002, 4.828695e+003
2.472352e+002, 4.821201e+003
2.477174e+002, 4.816889e+003
2.481995e+002, 4.816049e+003
2.486816e+002, 4.817043e+003
2.491637e+002, 4.821118e+003
2.496458e+002, 4.825985e+003
2.501279e+002, 4.828132e+003
2.506101e+002, 4.825737e+003
2.510922e+002, 4.824021e+003
2.515743e+002, 4.825073e+003
2.520564e+002, 4.829678e+003
