##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
324.3016, 0.3924560
324.7838, 1.715088
325.2659, 2.074524
325.7480, 1.333435
326.2301, 0.2979740
326.7122, 2.759460
327.1943, 6.237061
327.6765, 8.870178
328.1586, 9.599854
328.6407, 10.63019
329.1228, 12.85712
329.6049, 16.04651
330.0870, 19.49756
330.5692, 22.71631
331.0513, 25.81360
331.5334, 29.59741
332.0155, 34.89886
332.4976, 40.03796
332.9797, 44.71368
333.4619, 49.12402
333.9440, 53.44812
334.4261, 57.77667
334.9082, 62.26202
335.3904, 67.29993
335.8725, 72.87653
336.3546, 79.11279
336.8367, 86.98273
337.3188, 94.87030
337.8009, 100.9996
338.2831, 105.2036
338.7652, 109.2032
339.2473, 115.2526
339.7294, 123.8757
340.2115, 133.1154
340.6936, 142.8738
341.1758, 153.2340
341.6579, 164.2709
342.1400, 175.9825
342.6221, 188.1229
343.1042, 200.3127
343.5863, 212.5456
344.0685, 226.9720
344.5506, 245.5869
345.0327, 264.4895
345.5148, 282.8129
345.9969, 300.8580
346.4790, 318.9690
346.9612, 337.3818
347.4433, 356.1968
347.9254, 376.3028
348.4075, 398.3701
348.8896, 420.4980
349.3717, 442.1115
349.8539, 463.6389
350.3360, 486.2360
350.8181, 509.9711
351.3002, 533.1829
351.7823, 553.5088
352.2644, 570.7384
352.7466, 585.6351
353.2287, 599.4019
353.7108, 610.0582
354.1929, 616.2526
354.6750, 618.1318
355.1571, 616.8292
355.6393, 613.0552
356.1214, 606.8026
356.6035, 599.0075
357.0856, 588.1303
357.5677, 577.6586
358.0498, 568.0471
358.5320, 559.6706
359.0141, 553.4124
359.4962, 550.3348
359.9783, 548.9366
360.4604, 545.2123
360.9425, 538.6133
361.4247, 530.8693
361.9068, 523.7772
362.3889, 515.2118
362.8710, 503.0851
363.3531, 486.7684
363.8352, 467.6767
364.3174, 447.2291
364.7995, 425.4510
365.2816, 401.9808
365.7637, 375.2345
366.2458, 348.0715
366.7279, 321.5566
367.2101, 296.0179
367.6922, 272.3142
368.1743, 251.1093
368.6564, 232.2203
369.1385, 215.0812
369.6206, 199.5851
370.1028, 185.8508
370.5849, 173.8593
371.0670, 163.4975
371.5491, 154.9458
372.0312, 148.4178
372.5133, 143.2877
