##NAMES=Dickinsonite-(KMnNa)
##RRUFFID=R160070
##IDEAL CHEMISTRY=K(NaMn^2+^)CaNa_3_AlMn^2+^_13_(PO_4_)_12_(OH)_2_
##LOCALITY=Smith mine, Newport, New Hampshire, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Pale yellowish green granular crystals, associated with muscovite and albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160070
369.6206, 0.3450930
370.1028, 0.2702940
370.5849, 0.2907100
371.0670, 0.3779750
371.5491, 0.4921650
372.0312, 0.6408540
372.5133, 0.7887120
372.9955, 0.8521350
373.4776, 0.8141330
373.9597, 0.8760220
374.4418, 1.255028
374.9239, 1.696999
375.4060, 1.854218
375.8882, 1.639320
376.3703, 1.401390
376.8524, 1.402626
377.3345, 1.586708
377.8166, 1.701042
378.2987, 1.633598
378.7809, 1.602142
379.2630, 1.963997
379.7451, 2.659920
380.2272, 3.136108
380.7093, 2.947449
381.1914, 2.561050
381.6736, 2.685143
382.1557, 3.391472
382.6378, 4.055649
383.1199, 4.176704
383.6020, 3.874062
384.0841, 3.764061
384.5663, 3.967041
385.0484, 4.255592
385.5305, 4.500870
386.0126, 4.724869
386.4947, 5.002495
386.9768, 5.369507
387.4590, 5.797081
387.9411, 6.235382
388.4232, 6.703217
388.9053, 7.124313
389.3874, 7.475410
389.8695, 7.776115
390.3517, 8.037552
390.8338, 8.264542
391.3159, 8.467751
391.7980, 8.627052
392.2801, 8.705727
392.7622, 9.046776
393.2444, 9.986412
393.7265, 10.90238
394.2086, 11.41512
394.6907, 11.62120
395.1728, 11.81887
395.6549, 12.17410
396.1371, 12.66417
396.6192, 13.18591
397.1013, 13.64522
397.5834, 14.26086
398.0655, 15.26524
398.5476, 16.32278
399.0298, 17.06253
399.5119, 17.39991
399.9940, 17.56174
400.4761, 17.82656
400.9582, 18.15211
401.4403, 18.71394
401.9225, 19.68192
402.4046, 20.72575
402.8867, 21.84631
403.3688, 22.89709
403.8509, 23.58168
404.3330, 23.64489
404.8152, 23.24623
405.2973, 23.27111
405.7794, 24.13301
406.2615, 24.76752
406.7436, 24.86430
407.2257, 24.74263
407.7079, 24.71415
408.1900, 24.86552
408.6721, 25.05912
409.1542, 25.11248
409.6363, 24.99678
410.1184, 24.80751
410.6006, 24.60056
411.0827, 24.35701
411.5648, 24.03604
412.0469, 23.63174
412.5290, 23.17448
413.0111, 22.66935
413.4933, 22.14153
413.9754, 21.66007
414.4575, 21.23983
414.9396, 20.80859
415.4217, 20.28603
415.9038, 19.77164
416.3860, 19.38928
416.8681, 19.17988
417.3502, 19.04636
417.8323, 18.91629
418.3144, 18.78939
418.7965, 18.68456
419.2787, 18.66779
419.7608, 18.56616
420.2429, 18.06179
420.7250, 17.20058
421.2071, 16.61806
421.6892, 16.81467
422.1714, 17.26241
422.6535, 17.18745
423.1356, 16.54150
423.6177, 15.92262
424.0998, 15.77347
424.5819, 15.98095
425.0641, 15.97488
425.5462, 15.57043
426.0283, 15.17986
426.5104, 15.02557
426.9925, 14.99551
427.4746, 14.84550
427.9568, 14.48088
428.4389, 14.07240
428.9210, 13.89008
429.4031, 14.07363
429.8852, 14.08819
430.3673, 13.82587
430.8495, 13.47918
431.3316, 13.11195
431.8137, 12.76931
432.2958, 12.54409
432.7779, 12.50871
433.2600, 12.64471
433.7422, 12.80392
434.2243, 13.11946
434.7064, 13.29503
435.1885, 13.22503
435.6706, 13.02782
436.1527, 12.77005
436.6349, 12.49304
437.1170, 12.31606
437.5991, 12.46212
438.0812, 13.08057
438.5633, 13.46957
439.0454, 13.42438
439.5276, 13.33588
440.0097, 13.38471
440.4918, 13.51267
440.9739, 13.53378
441.4560, 13.27628
441.9381, 12.90826
442.4203, 12.98947
442.9024, 13.76424
443.3845, 14.33620
443.8666, 14.21120
444.3487, 13.90589
444.8308, 13.82870
445.3130, 14.05054
445.7951, 14.37251
446.2772, 14.68233
446.7593, 14.96619
447.2414, 15.11603
447.7235, 15.03577
448.2057, 14.99595
448.6878, 15.32555
449.1699, 15.85947
449.6520, 16.18822
450.1341, 16.01054
450.6162, 15.76670
451.0984, 15.97478
451.5805, 16.54326
452.0626, 16.87076
452.5447, 16.65694
453.0268, 16.15862
453.5089, 15.83868
453.9911, 15.69660
454.4732, 15.64197
454.9553, 15.72996
455.4374, 15.87843
455.9195, 15.98627
456.4016, 16.02010
456.8838, 16.02748
457.3659, 16.04545
457.8480, 16.07115
458.3301, 16.10783
458.8122, 16.23698
459.2943, 16.28338
459.7765, 16.09142
460.2586, 15.84045
460.7407, 15.79276
461.2228, 16.02911
461.7049, 16.37817
462.1870, 16.57629
462.6692, 16.55121
463.1513, 16.60323
463.6334, 16.80448
464.1155, 16.99131
464.5976, 17.11673
465.0797, 17.16637
465.5619, 17.11291
466.0440, 16.92014
466.5261, 16.65852
467.0082, 16.53181
467.4903, 16.58207
467.9724, 16.72639
468.4546, 17.09714
468.9367, 17.41872
469.4188, 17.40600
469.9009, 17.06516
470.3830, 16.75650
470.8651, 16.83708
471.3473, 17.17109
471.8294, 17.21906
472.3115, 16.85870
472.7936, 16.49660
473.2757, 16.41843
473.7578, 16.51952
474.2400, 16.62902
474.7221, 16.78103
475.2042, 16.84186
475.6863, 16.71399
