##NAMES=Tetrawickmanite
##RRUFFID=R170046
##IDEAL CHEMISTRY=Mn^2+^Sn^4+^(OH)_6_
##LOCALITY=Mina San Martin, Sombrerete, Zacatecas, Mexico
##OWNER=RRUFF
##SOURCE=Peter Megaw
##DESCRIPTION=Yellow cubic or pseudo-octahedral crystals on quartz, associated with colorless cubic fluorite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170046
314.7316, 63.74500
315.2137, 57.94321
315.6958, 52.47287
316.1779, 47.35513
316.6601, 42.93945
317.1422, 38.60480
317.6243, 33.87112
318.1064, 28.59277
318.5885, 23.94897
319.0706, 20.57932
319.5528, 17.98672
320.0349, 15.60571
320.5170, 12.55783
320.9991, 10.39505
321.4812, 10.15918
321.9633, 11.88260
322.4455, 12.83881
322.9276, 11.72931
323.4097, 10.04910
323.8918, 8.917328
324.3739, 8.432037
324.8560, 8.565857
325.3382, 9.642487
325.8203, 11.49860
326.3024, 13.03525
326.7845, 14.09460
327.2666, 14.87772
327.7487, 15.45609
328.2309, 14.98431
328.7130, 15.47980
329.1951, 17.79266
329.6772, 21.04807
330.1593, 23.02533
330.6414, 22.80945
331.1236, 22.34238
331.6057, 22.11111
332.0878, 21.78851
332.5699, 22.81918
333.0520, 26.13208
333.5341, 30.19894
334.0163, 32.69754
334.4984, 32.75809
334.9805, 32.91943
335.4626, 33.85263
335.9447, 35.59583
336.4268, 37.24371
336.9090, 38.48923
337.3911, 40.13293
337.8732, 43.17361
338.3553, 48.04834
338.8374, 52.45007
339.3195, 55.73035
339.8017, 58.25314
340.2838, 61.80246
340.7659, 66.46909
341.2480, 71.85672
341.7301, 77.95480
342.2122, 84.76526
342.6944, 91.29431
343.1765, 97.17578
343.6586, 103.0898
344.1407, 110.4030
344.6228, 119.1010
345.1049, 128.3720
345.5871, 137.6951
346.0692, 147.2359
346.5513, 157.0229
347.0334, 166.9774
347.5155, 177.6586
347.9977, 190.3980
348.4798, 204.7933
348.9619, 218.0464
349.4440, 227.7443
349.9261, 235.9691
350.4082, 247.1893
350.8904, 261.3989
351.3725, 276.3097
351.8546, 290.5556
352.3367, 304.1010
352.8188, 316.9683
353.3009, 328.9362
353.7831, 340.5036
354.2652, 352.2445
354.7473, 364.0944
355.2294, 375.7460
355.7115, 386.9957
356.1936, 397.8864
356.6758, 408.5728
357.1579, 419.3873
357.6400, 429.4857
358.1221, 438.4431
358.6042, 446.3372
359.0863, 453.3799
359.5685, 458.4846
360.0506, 463.5604
360.5327, 469.8181
361.0148, 477.4052
361.4969, 485.4455
361.9790, 494.6568
362.4612, 503.7546
362.9433, 511.4325
363.4254, 516.4622
363.9075, 520.8184
364.3896, 525.1673
364.8717, 529.3878
365.3539, 532.7124
365.8360, 534.7181
366.3181, 536.1028
366.8002, 537.1902
367.2823, 538.2343
367.7644, 538.3151
368.2466, 537.3499
368.7287, 535.4819
369.2108, 532.9155
369.6929, 529.1767
370.1750, 525.0860
370.6571, 520.9518
371.1393, 516.6894
371.6214, 512.8022
372.1035, 509.7707
372.5856, 506.7169
373.0677, 502.5628
373.5498, 497.0603
374.0320, 490.9320
374.5141, 484.4030
374.9962, 477.5126
375.4783, 470.0476
375.9604, 462.3000
376.4425, 453.5738
376.9247, 442.8620
377.4068, 429.9185
377.8889, 417.7656
378.3710, 407.2214
378.8531, 397.4304
379.3352, 386.0200
379.8174, 372.9967
380.2995, 359.4098
380.7816, 345.7602
381.2637, 331.9933
381.7458, 318.7104
382.2279, 305.7407
382.7101, 293.2723
383.1922, 281.5030
383.6743, 270.2055
384.1564, 258.9414
384.6385, 247.5414
385.1206, 235.9190
385.6028, 223.5905
386.0849, 210.6053
386.5670, 197.9032
387.0491, 185.7207
387.5312, 174.3132
388.0133, 164.0538
388.4955, 155.2838
388.9776, 147.2809
389.4597, 139.8083
389.9418, 132.7378
390.4239, 125.6952
390.9060, 117.9042
391.3882, 110.4366
391.8703, 104.3007
392.3524, 99.73694
392.8345, 95.42496
393.3166, 90.97046
393.7987, 86.28879
394.2809, 81.34619
394.7630, 75.23978
395.2451, 69.69797
395.7272, 65.53952
396.2093, 62.71002
396.6914, 59.63339
397.1736, 55.68448
397.6557, 51.58644
398.1378, 47.75977
398.6199, 44.19817
399.1020, 41.04083
399.5841, 38.43207
400.0663, 36.21725
400.5484, 34.01648
401.0305, 31.65549
401.5126, 29.53212
401.9947, 27.85965
402.4768, 26.80643
402.9590, 25.41132
403.4411, 23.62369
403.9232, 21.55479
404.4053, 19.27238
404.8874, 16.67325
405.3695, 14.15793
405.8517, 11.62601
406.3338, 9.260254
406.8159, 7.873398
407.2980, 7.612930
407.7801, 7.621368
408.2622, 7.330444
408.7444, 6.761795
409.2265, 6.298355
409.7086, 6.017944
410.1907, 5.723053
410.6728, 5.138641
411.1549, 4.269135
411.6371, 3.170654
412.1192, 1.565445
412.6013, 0.1720580
413.0834, 1.201523
413.5655, 1.519363
414.0476, 1.623260
414.5298, 1.712204
415.0119, 1.911972
415.4940, 2.495132
415.9761, 3.795074
416.4582, 5.090347
416.9403, 5.804657
417.4225, 6.016235
417.9046, 5.933487
418.3867, 5.317444
418.8688, 4.668808
419.3509, 4.378967
419.8330, 4.559036
420.3152, 4.720108
420.7973, 4.748718
421.2794, 4.626740
421.7615, 4.335999
422.2436, 3.262787
422.7257, 2.653290
423.2079, 3.334061
423.6900, 5.129669
424.1721, 5.779114
424.6542, 4.020721
425.1363, 1.926956
425.6184, 0.5124660
426.1006, 0.4917760
426.5827, 0.1627200
427.0648, 1.871857
427.5469, 4.022064
428.0290, 5.473679
428.5111, 5.876663
428.9933, 6.426605
429.4754, 7.331635
429.9575, 8.607300
430.4396, 10.57841
430.9217, 13.36574
431.4038, 16.47394
431.8860, 19.48804
432.3681, 22.38457
432.8502, 25.17880
433.3323, 27.82904
433.8144, 30.43570
434.2965, 33.16437
434.7787, 36.00183
435.2608, 38.89551
435.7429, 41.80899
436.2250, 44.80905
436.7071, 47.89604
437.1892, 51.02818
437.6714, 54.41841
438.1535, 58.45256
438.6356, 62.85521
439.1177, 67.15582
439.5998, 71.36115
440.0819, 75.19574
440.5641, 78.08344
441.0462, 80.34254
441.5283, 83.07152
442.0104, 88.06393
442.4925, 92.86885
442.9746, 95.36055
443.4568, 94.51231
443.9389, 94.43118
444.4210, 96.94034
444.9031, 100.7564
445.3852, 104.3865
445.8673, 107.1875
446.3495, 109.9269
446.8316, 112.9050
447.3137, 116.1130
447.7958, 118.8497
448.2779, 120.6126
448.7600, 122.4102
449.2422, 124.7411
449.7243, 127.8137
450.2064, 131.0607
450.6885, 134.8674
451.1706, 138.5865
451.6527, 140.8407
452.1349, 141.1925
452.6170, 142.0779
453.0991, 144.3871
453.5812, 147.8861
454.0633, 150.6301
454.5454, 152.4831
455.0276, 154.9972
455.5097, 159.6171
455.9918, 166.0632
456.4739, 172.5736
456.9560, 178.7678
457.4381, 185.5749
457.9203, 194.6259
458.4024, 205.3881
458.8845, 216.4028
459.3666, 226.4470
459.8488, 236.5543
460.3309, 248.1994
460.8130, 261.2050
461.2951, 273.6678
461.7772, 284.4218
462.2593, 293.7434
462.7415, 301.8313
463.2236, 309.4283
463.7057, 314.5152
464.1878, 316.4868
464.6699, 315.3325
465.1520, 311.0037
465.6342, 303.1347
466.1163, 292.5049
466.5984, 278.7530
467.0805, 261.6173
467.5626, 243.9823
468.0447, 224.9671
468.5269, 206.3294
469.0090, 189.0599
469.4911, 173.4176
469.9732, 158.7015
470.4553, 144.5816
470.9374, 131.4087
471.4196, 119.9996
471.9017, 110.7317
472.3838, 102.1075
472.8659, 93.30240
473.3480, 84.43277
473.8301, 77.57178
474.3123, 72.90436
474.7944, 68.86761
475.2765, 63.87744
475.7586, 58.25009
476.2407, 53.34113
476.7228, 49.53232
477.2050, 46.23050
477.6871, 42.60464
478.1692, 38.81293
478.6513, 35.38971
479.1334, 32.98386
479.6155, 30.86823
480.0977, 28.16263
480.5798, 24.82788
481.0619, 21.92883
481.5440, 20.49814
482.0261, 19.59286
482.5082, 18.44366
482.9904, 16.57208
483.4725, 14.85147
483.9546, 13.95670
484.4367, 13.31992
484.9188, 11.69748
485.4009, 7.539185
485.8831, 3.709808
486.3652, 1.019165
486.8473, 0.4402470
487.3294, 1.948029
487.8115, 3.567688
488.2936, 5.133270
488.7758, 6.564514
489.2579, 7.927002
489.7400, 8.904205
490.2221, 9.385498
490.7042, 9.608093
491.1863, 10.10510
491.6685, 10.90588
492.1506, 11.52939
492.6327, 11.58627
493.1148, 11.34338
493.5969, 12.06738
494.0790, 13.75299
494.5612, 15.07947
495.0433, 14.65768
495.5254, 13.18643
496.0075, 11.94775
496.4896, 11.26160
496.9717, 10.62708
497.4539, 9.545258
497.9360, 8.237122
498.4181, 7.181213
498.9002, 6.665771
499.3823, 6.346863
499.8644, 6.084717
500.3466, 5.856415
500.8287, 5.643494
501.3108, 5.355682
501.7929, 5.136383
502.2750, 5.150604
502.7571, 5.960907
503.2393, 5.865906
503.7214, 4.190338
504.2035, 1.929291
504.6856, 0.3277280
505.1677, 0.4369810
505.6498, 0.8489380
506.1320, 0.9037480
506.6141, 0.6962590
507.0962, 0.6314700
507.5783, 0.6906740
508.0604, 0.9599300
508.5425, 1.697662
509.0247, 2.807220
509.5068, 3.173676
509.9889, 2.610260
510.4710, 2.072357
510.9531, 2.983124
511.4352, 4.850067
511.9174, 6.134979
512.3995, 5.932220
512.8816, 5.559570
513.3637, 6.935608
513.8458, 9.465485
514.3279, 11.20905
514.8101, 10.09650
515.2922, 8.602966
515.7743, 8.596405
516.2564, 10.37067
516.7385, 12.14359
517.2206, 12.79739
517.7028, 13.44168
518.1849, 14.96295
518.6670, 18.70108
519.1491, 21.80081
519.6312, 23.70444
520.1133, 24.92233
520.5955, 26.64774
521.0776, 29.04504
521.5597, 31.59787
522.0418, 34.35577
522.5239, 37.27762
523.0060, 38.83978
523.4882, 38.58270
523.9703, 38.63513
524.4524, 41.13190
524.9345, 45.78204
525.4166, 49.65747
525.8987, 52.44202
526.3809, 54.58850
526.8630, 56.33023
527.3451, 57.92377
527.8272, 60.11661
528.3093, 63.63089
528.7914, 67.57864
529.2736, 71.42273
529.7557, 75.07095
530.2378, 77.85098
530.7199, 78.27008
531.2020, 78.58154
531.6841, 80.52979
532.1663, 84.77142
532.6484, 88.72235
533.1305, 91.35864
533.6126, 93.63696
534.0947, 96.52521
534.5768, 100.3066
535.0590, 104.4178
535.5411, 109.1800
536.0232, 114.1669
536.5053, 117.9168
536.9874, 119.7643
537.4695, 121.8972
537.9517, 125.3490
538.4338, 129.9765
538.9159, 132.9872
539.3980, 134.0671
539.8801, 135.3087
540.3622, 138.7458
540.8444, 143.8673
541.3265, 148.7579
541.8086, 153.1846
542.2907, 157.5365
542.7728, 162.2631
543.2549, 167.1890
543.7371, 171.9531
544.2192, 176.3287
544.7013, 180.6819
545.1834, 185.5795
545.6655, 190.8170
546.1476, 195.3359
546.6298, 197.4658
547.1119, 199.8041
547.5940, 203.8808
548.0761, 210.3289
548.5582, 216.7901
549.0403, 223.0006
549.5225, 229.2186
550.0046, 235.5998
550.4867, 242.2568
550.9688, 248.8663
551.4509, 255.0867
551.9330, 261.3455
552.4152, 268.5686
552.8973, 276.9319
553.3794, 286.1469
553.8615, 296.4979
554.3436, 307.4489
554.8257, 316.9183
555.3079, 324.8868
555.7900, 333.3751
556.2721, 343.8080
