##NAMES=Galeite
##RRUFFID=R160078
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, San Bernardino County, California, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale grey barrel-shaped crystals, intergrown with schairerite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R160078
2.216831e+002, 3.616932e+004
2.221652e+002, 3.618110e+004
2.226473e+002, 3.618747e+004
2.231294e+002, 3.618686e+004
2.236115e+002, 3.617127e+004
2.240936e+002, 3.616368e+004
2.245758e+002, 3.617756e+004
2.250579e+002, 3.622480e+004
2.255400e+002, 3.626590e+004
2.260221e+002, 3.630012e+004
2.265042e+002, 3.632838e+004
2.269863e+002, 3.635107e+004
2.274685e+002, 3.636535e+004
2.279506e+002, 3.637884e+004
2.284327e+002, 3.639311e+004
2.289148e+002, 3.640164e+004
2.293969e+002, 3.642664e+004
2.298790e+002, 3.647529e+004
2.303612e+002, 3.653772e+004
2.308433e+002, 3.658824e+004
2.313254e+002, 3.661811e+004
2.318075e+002, 3.664891e+004
2.322896e+002, 3.669057e+004
2.327717e+002, 3.674866e+004
2.332539e+002, 3.680284e+004
2.337360e+002, 3.685401e+004
2.342181e+002, 3.689938e+004
2.347002e+002, 3.693054e+004
2.351823e+002, 3.693234e+004
2.356644e+002, 3.694158e+004
2.361466e+002, 3.697661e+004
2.366287e+002, 3.705507e+004
2.371108e+002, 3.710924e+004
2.375929e+002, 3.712846e+004
2.380750e+002, 3.712702e+004
2.385571e+002, 3.713448e+004
2.390393e+002, 3.715823e+004
2.395214e+002, 3.717977e+004
2.400035e+002, 3.719209e+004
2.404856e+002, 3.719233e+004
2.409677e+002, 3.719425e+004
2.414498e+002, 3.719898e+004
2.419320e+002, 3.720602e+004
2.424141e+002, 3.721438e+004
2.428962e+002, 3.722485e+004
2.433783e+002, 3.723707e+004
2.438604e+002, 3.725152e+004
2.443425e+002, 3.726923e+004
2.448247e+002, 3.728747e+004
2.453068e+002, 3.730613e+004
2.457889e+002, 3.732578e+004
2.462710e+002, 3.734787e+004
2.467531e+002, 3.737449e+004
2.472352e+002, 3.739927e+004
2.477174e+002, 3.741865e+004
2.481995e+002, 3.742961e+004
2.486816e+002, 3.744701e+004
2.491637e+002, 3.746988e+004
2.496458e+002, 3.749920e+004
2.501279e+002, 3.753796e+004
2.506101e+002, 3.759466e+004
2.510922e+002, 3.764439e+004
2.515743e+002, 3.767759e+004
2.520564e+002, 3.769144e+004
2.525385e+002, 3.771094e+004
2.530206e+002, 3.773807e+004
2.535028e+002, 3.776921e+004
2.539849e+002, 3.779938e+004
2.544670e+002, 3.782883e+004
2.549491e+002, 3.785789e+004
2.554312e+002, 3.788576e+004
2.559133e+002, 3.791186e+004
2.563955e+002, 3.794616e+004
2.568776e+002, 3.799775e+004
2.573597e+002, 3.804748e+004
2.578418e+002, 3.807194e+004
2.583239e+002, 3.805661e+004
2.588061e+002, 3.805025e+004
2.592882e+002, 3.806393e+004
2.597703e+002, 3.809739e+004
2.602524e+002, 3.813130e+004
2.607345e+002, 3.816752e+004
2.612166e+002, 3.820201e+004
2.616988e+002, 3.823193e+004
2.621809e+002, 3.825649e+004
2.626630e+002, 3.827714e+004
2.631451e+002, 3.829195e+004
2.636272e+002, 3.830240e+004
2.641093e+002, 3.831958e+004
2.645915e+002, 3.834537e+004
2.650736e+002, 3.837566e+004
2.655557e+002, 3.841167e+004
2.660378e+002, 3.845978e+004
2.665199e+002, 3.848831e+004
2.670020e+002, 3.848459e+004
2.674842e+002, 3.845786e+004
2.679663e+002, 3.845673e+004
2.684484e+002, 3.848822e+004
2.689305e+002, 3.852847e+004
2.694126e+002, 3.856021e+004
2.698947e+002, 3.858073e+004
2.703769e+002, 3.860577e+004
2.708590e+002, 3.863883e+004
2.713411e+002, 3.867640e+004
2.718232e+002, 3.870540e+004
2.723053e+002, 3.872316e+004
2.727874e+002, 3.873988e+004
2.732696e+002, 3.876057e+004
2.737517e+002, 3.878470e+004
2.742338e+002, 3.881712e+004
2.747159e+002, 3.886195e+004
2.751980e+002, 3.891191e+004
2.756801e+002, 3.894694e+004
2.761623e+002, 3.896399e+004
2.766444e+002, 3.898118e+004
2.771265e+002, 3.901080e+004
2.776086e+002, 3.905518e+004
2.780907e+002, 3.908839e+004
2.785728e+002, 3.910888e+004
2.790550e+002, 3.912047e+004
2.795371e+002, 3.912565e+004
2.800192e+002, 3.912262e+004
2.805013e+002, 3.912781e+004
2.809834e+002, 3.915135e+004
2.814655e+002, 3.919255e+004
2.819477e+002, 3.922994e+004
2.824298e+002, 3.926128e+004
2.829119e+002, 3.929221e+004
2.833940e+002, 3.933041e+004
2.838761e+002, 3.937546e+004
2.843582e+002, 3.942331e+004
2.848404e+002, 3.947763e+004
2.853225e+002, 3.953424e+004
2.858046e+002, 3.956582e+004
2.862867e+002, 3.956815e+004
2.867688e+002, 3.956261e+004
2.872509e+002, 3.957364e+004
2.877331e+002, 3.960021e+004
2.882152e+002, 3.962775e+004
2.886973e+002, 3.965726e+004
2.891794e+002, 3.968376e+004
2.896615e+002, 3.968445e+004
2.901436e+002, 3.965787e+004
2.906258e+002, 3.963006e+004
2.911079e+002, 3.962799e+004
2.915900e+002, 3.964775e+004
2.920721e+002, 3.966576e+004
2.925542e+002, 3.967526e+004
2.930363e+002, 3.968127e+004
2.935185e+002, 3.969458e+004
2.940006e+002, 3.971541e+004
2.944827e+002, 3.973643e+004
2.949648e+002, 3.974877e+004
2.954469e+002, 3.975654e+004
2.959290e+002, 3.977307e+004
2.964112e+002, 3.980295e+004
2.968933e+002, 3.983821e+004
2.973754e+002, 3.986332e+004
2.978575e+002, 3.988008e+004
2.983396e+002, 3.990259e+004
2.988217e+002, 3.994429e+004
2.993039e+002, 3.999705e+004
2.997860e+002, 4.004377e+004
3.002681e+002, 4.008127e+004
3.007502e+002, 4.011540e+004
3.012323e+002, 4.015742e+004
3.017144e+002, 4.020311e+004
3.021966e+002, 4.023615e+004
3.026787e+002, 4.023557e+004
3.031608e+002, 4.022245e+004
3.036429e+002, 4.022696e+004
3.041250e+002, 4.025296e+004
3.046071e+002, 4.028541e+004
3.050893e+002, 4.031430e+004
3.055714e+002, 4.033971e+004
3.060535e+002, 4.036071e+004
3.065356e+002, 4.037570e+004
3.070177e+002, 4.038718e+004
3.074998e+002, 4.039684e+004
3.079820e+002, 4.040492e+004
3.084641e+002, 4.041246e+004
3.089462e+002, 4.042145e+004
3.094283e+002, 4.043058e+004
3.099104e+002, 4.043785e+004
3.103925e+002, 4.043315e+004
3.108747e+002, 4.043451e+004
3.113568e+002, 4.045885e+004
3.118389e+002, 4.050373e+004
3.123210e+002, 4.054874e+004
3.128031e+002, 4.058580e+004
3.132852e+002, 4.061696e+004
3.137674e+002, 4.064379e+004
3.142495e+002, 4.066069e+004
3.147316e+002, 4.068073e+004
3.152137e+002, 4.071557e+004
3.156958e+002, 4.075971e+004
3.161779e+002, 4.079513e+004
3.166601e+002, 4.080265e+004
3.171422e+002, 4.080567e+004
3.176243e+002, 4.081913e+004
3.181064e+002, 4.084748e+004
3.185885e+002, 4.088104e+004
3.190706e+002, 4.092132e+004
3.195528e+002, 4.096385e+004
3.200349e+002, 4.100015e+004
3.205170e+002, 4.102091e+004
3.209991e+002, 4.104030e+004
3.214812e+002, 4.106438e+004
3.219633e+002, 4.109468e+004
3.224455e+002, 4.112622e+004
3.229276e+002, 4.116134e+004
3.234097e+002, 4.119648e+004
3.238918e+002, 4.122729e+004
3.243739e+002, 4.124938e+004
3.248560e+002, 4.127140e+004
3.253382e+002, 4.129626e+004
3.258203e+002, 4.132489e+004
3.263024e+002, 4.135264e+004
