##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
312.0390, 199.6810
312.5211, 199.1920
313.0032, 198.9573
313.4854, 198.7928
313.9675, 198.5061
314.4496, 197.7727
314.9317, 197.1438
315.4138, 197.0395
315.8959, 197.3560
316.3781, 197.4451
316.8602, 196.8097
317.3423, 195.9675
317.8244, 195.3168
318.3065, 195.2229
318.7886, 194.9361
319.2708, 193.9381
319.7529, 192.5222
320.2350, 191.5108
320.7171, 191.9332
321.1992, 192.2373
321.6813, 191.5551
322.1635, 189.2447
322.6456, 187.1573
323.1277, 185.5925
323.6098, 184.4732
324.0919, 183.6682
324.5740, 183.7375
325.0562, 183.5962
325.5383, 182.8406
326.0204, 181.2829
326.5025, 179.8098
326.9846, 178.5230
327.4667, 177.3355
327.9489, 176.1379
328.4310, 174.8123
328.9131, 173.6139
329.3952, 172.7206
329.8773, 172.1521
330.3594, 171.0912
330.8416, 169.1103
331.3237, 167.0135
331.8058, 165.3946
332.2879, 164.6180
332.7700, 163.6700
333.2521, 162.2659
333.7343, 160.5823
334.2164, 159.5355
334.6985, 159.4854
335.1806, 159.5245
335.6627, 159.1736
336.1448, 158.3362
336.6270, 157.3895
337.1091, 156.2859
337.5912, 155.1318
338.0733, 154.1275
338.5554, 153.3012
339.0375, 152.5678
339.5197, 151.9118
340.0018, 151.3437
340.4839, 150.7791
340.9660, 150.2483
341.4481, 149.6779
341.9302, 148.9409
342.4124, 148.0118
342.8945, 147.1622
343.3766, 146.4113
343.8587, 145.8025
344.3408, 145.6231
344.8229, 145.9390
345.3051, 146.2354
345.7872, 146.0113
346.2693, 145.3293
346.7514, 144.5364
347.2335, 143.5905
347.7156, 142.7275
348.1978, 142.5730
348.6799, 143.0742
349.1620, 143.5542
349.6441, 143.4604
350.1262, 143.0170
350.6083, 142.7680
351.0905, 142.8066
351.5726, 142.9372
352.0547, 142.9311
352.5368, 142.8273
353.0189, 142.7437
353.5010, 142.7712
353.9832, 142.8355
354.4653, 142.8844
354.9474, 142.9194
355.4295, 142.8271
355.9116, 142.4246
356.3937, 141.8540
356.8759, 141.3336
357.3580, 140.7984
357.8401, 140.4539
358.3222, 140.6005
358.8043, 141.1475
359.2864, 141.5453
359.7686, 141.2189
360.2507, 140.7662
360.7328, 140.7532
361.2149, 141.6936
361.6970, 142.4285
362.1791, 142.3395
362.6613, 141.6988
363.1434, 141.1343
363.6255, 140.8343
364.1076, 140.6614
364.5897, 140.5961
365.0718, 140.7083
365.5540, 140.6760
366.0361, 140.2038
366.5182, 139.6377
367.0003, 139.3931
367.4824, 139.8358
367.9645, 140.2784
368.4467, 140.5994
368.9288, 140.7908
369.4109, 140.9093
369.8930, 140.9966
370.3751, 140.9835
370.8572, 140.7876
371.3394, 140.0460
371.8215, 139.7697
372.3036, 140.3268
372.7857, 141.3938
373.2678, 141.7652
373.7499, 141.0759
374.2321, 140.3389
374.7142, 140.0192
375.1963, 140.1811
375.6784, 140.5271
376.1605, 141.1964
376.6426, 141.8647
377.1248, 141.8844
377.6069, 141.1082
378.0890, 140.5836
378.5711, 140.7683
