##NAMES=Virgilluethite
##RRUFFID=R220017
##IDEAL CHEMISTRY=Mo^6+^O_3_&#183;H_2_O
##LOCALITY=Cooke's Peak, Cookes Range, Luna County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Aggregates of yellow-green lamellas. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220017
##MEASURED CHEMISTRY=MoO_3_·H_2_O, which was calculated on the basis of 4 O apfu.
276.1623, 1386.802
276.6444, 1367.227
277.1265, 1342.812
277.6086, 1313.470
278.0907, 1285.798
278.5728, 1260.931
279.0550, 1234.180
279.5371, 1199.953
280.0192, 1157.952
280.5013, 1112.970
280.9834, 1065.378
281.4655, 1015.835
281.9477, 967.1689
282.4298, 919.7878
282.9119, 873.8899
283.3940, 830.3704
283.8761, 789.1626
284.3582, 747.8394
284.8404, 705.6428
285.3225, 663.0437
285.8046, 621.2294
286.2867, 580.6300
286.7688, 540.9457
287.2509, 501.0078
287.7331, 461.2810
288.2152, 426.5269
288.6973, 398.9614
289.1794, 374.6848
289.6615, 345.0084
290.1436, 309.6454
290.6258, 275.9783
291.1079, 249.8567
291.5900, 229.5804
292.0721, 207.1548
292.5542, 181.2018
293.0363, 154.8522
293.5185, 133.5216
294.0006, 116.5751
294.4827, 100.9792
294.9648, 84.72241
295.4469, 67.96741
295.9290, 51.23633
296.4112, 34.12451
296.8933, 18.20410
297.3754, 5.671021
297.8575, 3.693115
298.3396, 11.18652
298.8217, 15.63098
299.3039, 18.99097
299.7860, 24.49207
300.2681, 32.35632
300.7502, 41.19019
301.2323, 51.05371
301.7144, 60.97083
302.1966, 67.63733
302.6787, 67.40100
303.1608, 64.91394
303.6429, 66.68372
304.1250, 72.40173
304.6071, 78.16333
305.0893, 81.09375
305.5714, 81.98450
306.0535, 81.68628
306.5356, 80.69739
307.0177, 78.56836
307.4998, 73.41052
307.9820, 66.01514
308.4641, 60.33398
308.9462, 60.15198
309.4283, 62.50610
309.9104, 64.25732
310.3925, 64.84497
310.8747, 64.10645
311.3568, 61.07410
311.8389, 56.38147
312.3210, 51.78369
312.8031, 48.63171
313.2852, 45.66870
313.7674, 42.02795
314.2495, 37.51135
314.7316, 32.24585
315.2137, 24.66882
315.6958, 16.50293
316.1779, 10.70349
316.6601, 12.22839
317.1422, 13.39160
317.6243, 9.413086
318.1064, 1.000732
318.5885, 10.95337
319.0706, 16.42810
319.5528, 20.76331
320.0349, 27.75256
320.5170, 41.06506
320.9991, 54.63440
321.4812, 66.79919
321.9633, 77.49292
322.4455, 87.06030
322.9276, 93.91565
323.4097, 100.6007
323.8918, 109.0189
324.3739, 120.7681
324.8560, 132.7841
325.3382, 144.8884
325.8203, 157.0043
326.3024, 168.5732
326.7845, 179.1700
327.2666, 189.5137
327.7487, 199.9905
328.2309, 211.5522
328.7130, 221.8757
329.1951, 229.9194
329.6772, 236.7601
330.1593, 245.1801
330.6414, 257.0502
331.1236, 268.3269
331.6057, 277.6626
332.0878, 284.6960
332.5699, 291.0695
333.0520, 297.3431
333.5341, 302.6028
334.0163, 305.2783
334.4984, 304.0939
334.9805, 302.9833
335.4626, 302.9389
335.9447, 303.9774
336.4268, 305.5457
336.9090, 309.1996
337.3911, 310.9194
337.8732, 305.9588
338.3553, 292.5302
338.8374, 279.5389
339.3195, 268.1584
339.8017, 258.4420
340.2838, 250.0369
340.7659, 243.0817
341.2480, 236.7793
341.7301, 230.1083
342.2122, 223.0481
342.6944, 217.4019
343.1765, 213.6978
343.6586, 211.0076
344.1407, 207.3929
344.6228, 202.8657
345.1049, 199.1237
345.5871, 197.5960
346.0692, 197.8007
346.5513, 197.6042
347.0334, 196.7739
347.5155, 196.4525
347.9977, 198.5028
348.4798, 202.5490
348.9619, 206.8138
349.4440, 210.3454
349.9261, 213.6021
350.4082, 217.6154
350.8904, 222.4249
351.3725, 227.6676
351.8546, 233.4080
352.3367, 239.1789
352.8188, 243.8921
353.3009, 246.2339
353.7831, 248.6510
354.2652, 254.5466
354.7473, 263.2206
355.2294, 271.4303
355.7115, 275.5294
356.1936, 278.4617
356.6758, 284.1169
357.1579, 294.4042
357.6400, 304.1260
358.1221, 308.8768
358.6042, 310.2463
359.0863, 311.5621
359.5685, 313.8181
