##NAMES=Katoptrite
##RRUFFID=R140009
##IDEAL CHEMISTRY=Mn^2+^_13_Al_4_Sb^5+^_2_O_20_(SiO_4_)_2_
##LOCALITY=Brattfors mine, Nordmark, Filipstad, Värmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Black grains, thin black splinters or flakes
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140009
377.6069, 0.2294200
378.0890, 0.4537890
378.5711, 0.3208200
379.0532, 0.1078490
379.5353, 0.3800090
380.0175, 0.4877170
380.4996, 0.4920310
380.9817, 0.4078290
381.4638, 0.2489550
381.9459, 0.1297230
382.4280, 7.5672001E-02
382.9102, 0.1020660
383.3923, 0.2584110
383.8744, 0.5183260
384.3565, 0.7529340
384.8386, 0.8699260
385.3207, 0.9146000
385.8029, 0.9381290
386.2850, 0.9580350
386.7671, 1.097122
387.2492, 1.610401
387.7313, 2.284695
388.2134, 2.714024
388.6956, 2.568317
389.1777, 2.253132
389.6598, 2.085793
390.1419, 2.034306
390.6240, 2.015934
391.1061, 1.985054
391.5883, 1.977543
392.0704, 2.036472
392.5525, 2.260971
393.0346, 2.432529
393.5167, 2.408081
393.9988, 2.250168
394.4810, 2.132023
394.9631, 2.125439
395.4452, 2.164482
395.9273, 2.219620
396.4094, 2.291321
396.8915, 2.365532
397.3737, 2.495167
397.8558, 2.607197
398.3379, 2.610859
398.8200, 2.427280
399.3021, 2.200054
399.7842, 1.863388
400.2664, 1.418320
400.7485, 1.291401
401.2306, 1.760422
401.7127, 2.274487
402.1948, 2.461864
402.6769, 2.131641
403.1591, 1.922840
403.6412, 1.892941
404.1233, 1.987709
404.6054, 2.100025
405.0875, 2.270542
405.5696, 2.333813
406.0518, 2.180458
406.5339, 1.801945
407.0160, 1.494484
407.4981, 1.250614
407.9802, 1.132381
408.4623, 1.304607
408.9445, 1.760269
409.4266, 2.073677
409.9087, 2.108383
410.3908, 1.954369
410.8729, 1.775204
411.3550, 1.575500
411.8372, 1.445732
412.3193, 1.491810
412.8014, 1.650330
413.2835, 1.772751
413.7656, 1.836952
414.2477, 1.875740
414.7299, 1.890167
415.2120, 1.903637
415.6941, 1.972946
416.1762, 2.210476
416.6583, 2.458633
417.1404, 2.538677
417.6226, 2.455555
