##NAMES=Hydromagnesite
##RRUFFID=R220007
##IDEAL CHEMISTRY=Mg_5_(CO_3_)_4_(OH)_2_&#183;4H_2_O
##LOCALITY=Correc d'en Llinassos, Oms, Céret, Pyrénées-Orientales, Occitanie, France
##OWNER=Joan Rosell-Riba
##SOURCE=Joan Rosell-Riba, Jordi Ibáñez (Geo3Bcn-CSIC), Tariq Jawhari (CCiTUB)
##DESCRIPTION=White spherical aggregates, SEM-EDS analysis indicates only Mg
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R220007
1160.110, 2.989471
1161.740, 4.370258
1163.370, 3.616222
1165.000, 1.036266
1166.630, 2.656330
1168.250, 3.126423
1169.880, 1.921539
1171.510, 2.091667
1173.140, 3.6830999E-02
1174.760, 2.306969
1176.390, 1.802132
1178.010, 1.772316
1179.640, 0.8675230
1181.270, 2.287750
1182.890, 1.882999
1184.520, 0.1532750
1186.140, 1.848557
1187.770, 0.3938750
1189.390, 1.414215
1191.010, 1.509579
1192.640, 0.9049610
1194.260, 1.525368
1195.880, 1.570805
1197.500, 1.891262
1199.130, 9.6344002E-02
1200.750, 9.9074997E-02
1202.370, 0.7444990
1203.990, 1.514950
1205.610, 0.8854290
1207.230, 1.305927
1208.850, 1.4570000E-03
1210.470, 0.5469590
1212.090, 0.8424870
1213.710, 1.113045
1215.330, 0.1086270
1216.950, 1.104221
1218.560, 0.4248470
1220.180, 0.5954930
1221.800, 0.6411630
1223.420, 0.2618640
1225.040, 0.6825940
1226.650, 0.2466550
1228.270, 0.5989650
1229.880, 0.3553850
1231.500, 8.4927000E-02
1233.120, 0.4895210
1234.730, 0.9556430
1236.340, 0.7258340
1237.960, 0.3710520
1239.570, 8.3705999E-02
1241.190, 0.6114850
1242.800, 0.1067010
1244.410, 1.126934
1246.030, 2.297195
1247.640, 0.8174900
1249.250, 0.8371890
1250.870, 1.582729
1252.480, 0.4723240
1254.090, 2.6050000E-03
1255.700, 1.942101
1257.310, 1.961830
1258.920, 1.531593
1260.530, 1.101391
1262.140, 1.471214
1263.750, 0.5160790
1265.360, 0.6609800
1266.970, 0.4309080
1268.580, 1.125874
1270.180, 5.4134000E-02
1271.790, 0.1158290
1273.400, 1.460823
1275.010, 0.4441450
1276.610, 0.8493160
1278.220, 0.9701190
1279.830, 0.2645910
1281.430, 0.4590990
1283.040, 0.8786350
1284.640, 0.1732100
1286.250, 0.7928430
1287.850, 1.812508
1289.460, 0.2572400
1291.060, 0.4020000
1292.670, 0.3281900
1294.270, 0.3082920
1295.870, 6.1489001E-02
1297.480, 0.3687020
1299.080, 9.6500001E-04
1300.680, 0.8206520
1302.280, 0.4654240
1303.890, 2.185482
1305.490, 0.5056000
1307.090, 0.4242360
1308.690, 0.2290340
1310.290, 0.2839050
1311.890, 0.7614170
1313.490, 0.7319300
1315.090, 1.302567
1316.690, 0.7983510
1318.290, 0.4191820
1319.890, 0.3599320
1321.480, 0.9108430
1323.080, 0.6316570
1324.680, 0.8025780
1326.280, 0.8235550
1327.880, 0.1054190
1329.470, 0.7905920
1331.070, 6.1668001E-02
1332.660, 0.2327840
1334.260, 0.8539540
1335.860, 1.200176
1337.450, 0.3035510
1339.050, 2.167645
1340.640, 1.289059
1342.240, 0.8605230
1343.830, 1.182045
1345.420, 0.5536190
1347.020, 0.8252530
1348.610, 1.496941
1350.200, 1.868690
1351.790, 1.115494
1353.390, 0.2626380
1354.980, 4.0810000E-02
1356.570, 0.6060600
1358.160, 0.9279940
1359.750, 1.824993
1361.340, 0.8720510
1362.930, 1.494175
1364.520, 1.591362
1366.110, 1.860313
1367.700, 0.7826390
1369.290, 1.305035
1370.880, 1.427502
1372.470, 2.750046
1374.060, 2.572655
1375.650, 0.9454770
1377.230, 2.043365
1378.820, 0.8163490
1380.410, 2.389671
1381.990, 1.688072
1383.580, 2.861565
1385.170, 1.985134
1386.750, 1.858791
1388.340, 1.532574
1389.920, 4.056442
1391.510, 1.270645
1393.090, 1.018803
1394.680, 0.3429830
1396.260, 2.467239
1397.840, 2.241554
1399.430, 2.065941
1401.010, 2.310532
1402.590, 2.285023
1404.180, 1.184566
1405.760, 1.884159
1407.340, 2.008202
1408.920, 1.407867
1410.500, 2.582592
1412.080, 1.182365
1413.660, 1.982185
1415.250, 3.107059
1416.830, 2.481987
1418.410, 1.214420
1419.990, 2.164459
1421.560, 3.466156
1423.140, 1.807388
1424.720, 1.976974
1426.300, 1.752262
1427.880, 2.702614
1429.450, 1.628036
1431.030, 2.769871
1432.610, 3.120430
1434.190, 3.295734
1435.760, 3.596432
1437.340, 4.347206
1438.910, 3.773052
1440.490, 5.198776
1442.060, 5.824780
1443.640, 6.371826
1445.210, 5.843925
1446.790, 5.395176
1448.360, 6.196514
1449.940, 6.197941
1451.510, 7.074455
1453.080, 7.976067
1454.650, 7.002762
1456.230, 6.504555
1457.800, 6.581448
1459.370, 6.833439
1460.940, 5.779629
1462.520, 6.056816
1464.090, 6.684105
1465.660, 5.235203
1467.230, 4.538364
1468.800, 3.440964
1470.370, 3.718678
1471.940, 4.021503
1473.510, 4.649441
1475.070, 4.052490
1476.640, 3.255657
1478.210, 2.733936
1479.780, 3.512333
1481.350, 4.540844
1482.910, 4.325752
1484.480, 5.836987
1486.050, 5.840858
1487.610, 6.349289
1489.180, 4.976807
1490.750, 3.831039
1492.310, 3.235397
1493.880, 5.464863
1495.440, 4.544449
1497.010, 4.151340
1498.570, 3.818962
1500.140, 3.533978
1501.700, 3.289047
1503.260, 1.269249
1504.830, 2.074570
1506.390, 2.730026
1507.950, 2.885605
1509.510, 3.072968
1511.080, 3.128819
1512.640, 1.759808
1514.200, 4.190933
1515.760, 2.747208
1517.320, 3.248817
1518.880, 4.755386
1520.440, 5.587097
1522.000, 5.243965
1523.560, 6.000996
1525.120, 5.058174
1526.680, 4.601536
1528.240, 5.209049
1529.800, 5.491722
1531.350, 2.049568
1532.910, 1.782585
1534.470, 1.690784
1536.030, 2.549149
1537.580, 3.332703
1539.140, 3.666439
1540.700, 1.601074
1542.250, 2.224400
1543.810, 1.482765
1545.360, 1.442276
1546.920, 2.176998
1548.470, 0.9119220
1550.030, 1.547073
1551.580, 1.607437
1553.140, 1.093033
1554.690, 2.404125
1556.240, 1.390533
1557.800, 2.102802
1559.350, 2.164391
1560.900, 2.376240
1562.450, 2.493958
1564.010, 1.781361
1565.560, 2.072021
1567.110, 3.421604
1568.660, 2.011002
1570.210, 2.650600
1571.760, 2.614513
1573.310, 1.879116
1574.860, 1.704422
1576.410, 3.119404
1577.960, 2.884735
1579.510, 2.124733
1581.060, 2.716881
1582.610, 2.152786
1584.150, 4.438339
1585.700, 2.772537
1587.250, 2.730751
1588.800, 4.062370
1590.340, 3.692963
1591.890, 3.197491
1593.440, 2.176231
1594.980, 3.154667
1596.530, 2.936855
1598.070, 2.519169
1599.620, 1.351612
1601.160, 3.034344
1602.710, 2.092472
1604.250, 3.301071
1605.800, 4.359818
1607.340, 3.668797
1608.880, 3.577938
1610.430, 2.387234
1611.970, 3.947159
1613.510, 3.007557
1615.050, 2.718159
1616.600, 4.003925
1618.140, 2.689865
1619.680, 3.475983
1621.220, 2.187305
1622.760, 2.598850
1624.300, 3.211102
1625.840, 2.598801
1627.380, 3.011696
1628.920, 2.474785
1630.460, 2.913078
1632.000, 2.476673
1633.540, 2.840786
1635.080, 1.880356
1636.610, 1.145161
1638.150, 3.285187
1639.690, 1.675777
1641.230, 2.591854
1642.760, 2.033173
1644.300, 1.424728
1645.840, 4.116749
1647.370, 2.859024
1648.910, 1.926579
1650.440, 2.744419
1651.980, 1.762516
1653.510, 2.080959
1655.050, 1.699757
1656.580, 3.268814
1658.120, 3.113121
1659.650, 3.482689
1661.180, 2.852589
1662.720, 3.272854
1664.250, 1.518379
1665.780, 2.564156
1667.320, 2.085190
1668.850, 2.881458
1670.380, 3.202965
1671.910, 2.699249
1673.440, 1.870255
1674.970, 1.665958
1676.500, 2.536816
1678.030, 2.682652
1679.560, 1.728615
1681.090, 2.299717
1682.620, 1.171116
1684.150, 1.917889
1685.680, 1.165142
1687.210, 1.362938
1688.740, 2.561268
1690.260, 2.685127
1691.790, 2.709518
1693.320, 1.609447
1694.850, 2.084919
1696.370, 0.9859430
1697.900, 2.187523
1699.430, 2.139671
1700.950, 2.667404
1702.480, 3.220715
1704.000, 1.599628
1705.530, 1.554134
1707.050, 3.009258
1708.580, 2.789989
1710.100, 2.696339
1711.630, 3.128311
1713.150, 1.585911
1714.670, 2.044159
1716.200, 2.703064
1717.720, 2.312653
1719.240, 2.672932
1720.760, 2.683929
1722.280, 1.845657
1723.810, 0.4081610
1725.330, 1.771473
1726.850, 3.010685
1728.370, 1.300907
1729.890, 2.017204
1731.410, 1.409657
1732.930, 1.503319
1734.450, 0.9982380
1735.970, 1.344475
