##NAMES=Tundrite-(Ce)
##RRUFFID=R130563
##IDEAL CHEMISTRY=Na_2_Ce^3+^_2_Ti^4+^O_2_SiO_4_(CO_3_)_2_
##LOCALITY=Poudrette quarry, Mount St. Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Yellow bladed crystals, associated with white orthoclase
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130563
321.4812, 573.7461
321.9633, 589.9387
322.4455, 607.4482
322.9276, 626.6770
323.4097, 647.4883
323.8918, 669.7163
324.3739, 695.1584
324.8560, 720.2686
325.3382, 743.7393
325.8203, 765.3640
326.3024, 788.1943
326.7845, 812.7847
327.2666, 838.6755
327.7487, 865.6252
328.2309, 895.2502
328.7130, 923.7019
329.1951, 950.4155
329.6772, 975.5125
330.1593, 1000.195
330.6414, 1023.452
331.1236, 1046.921
331.6057, 1071.652
332.0878, 1098.139
332.5699, 1125.129
333.0520, 1153.259
333.5341, 1181.522
334.0163, 1206.959
334.4984, 1229.102
334.9805, 1248.757
335.4626, 1266.523
335.9447, 1282.815
336.4268, 1295.986
336.9090, 1306.732
337.3911, 1313.875
337.8732, 1315.625
338.3553, 1312.072
338.8374, 1302.977
339.3195, 1287.536
339.8017, 1266.059
340.2838, 1242.879
340.7659, 1218.684
341.2480, 1190.956
341.7301, 1155.622
342.2122, 1112.405
342.6944, 1067.707
343.1765, 1022.822
343.6586, 977.4043
344.1407, 931.8174
344.6228, 886.2498
345.1049, 840.1943
345.5871, 793.2288
346.0692, 745.1323
346.5513, 699.0530
347.0334, 655.2207
347.5155, 613.2922
347.9977, 573.6348
348.4798, 535.9180
348.9619, 500.4177
349.4440, 467.5347
349.9261, 436.8752
350.4082, 407.7974
350.8904, 380.3730
351.3725, 353.9292
351.8546, 326.6799
352.3367, 299.5654
352.8188, 274.7271
353.3009, 255.2229
353.7831, 237.3662
354.2652, 215.9915
354.7473, 191.2981
355.2294, 167.6807
355.7115, 148.8481
356.1936, 132.8582
356.6758, 117.1768
357.1579, 100.1921
357.6400, 84.14917
358.1221, 71.20508
358.6042, 60.76562
359.0863, 50.18433
359.5685, 37.04712
360.0506, 23.98682
360.5327, 13.18384
361.0148, 5.766113
361.4969, 1.415283
361.9790, 10.31665
362.4612, 19.71240
362.9433, 27.71899
363.4254, 34.34253
363.9075, 38.98633
364.3896, 40.43286
364.8717, 38.00586
365.3539, 37.47363
365.8360, 42.05859
366.3181, 48.08105
366.8002, 52.29175
367.2823, 53.62280
367.7644, 53.95044
368.2466, 53.49219
368.7287, 52.24316
369.2108, 50.18506
369.6929, 46.87720
370.1750, 43.12061
370.6571, 39.38770
371.1393, 36.26123
371.6214, 32.03467
372.1035, 26.41650
372.5856, 19.71753
373.0677, 12.81055
373.5498, 5.940430
374.0320, 1.737061
374.5141, 10.48975
374.9962, 20.30396
375.4783, 31.12207
375.9604, 43.06030
376.4425, 55.62769
376.9247, 68.08740
377.4068, 80.16333
377.8889, 93.22168
378.3710, 107.5894
378.8531, 123.0466
379.3352, 138.9954
379.8174, 155.2473
380.2995, 172.3877
380.7816, 191.0332
381.2637, 211.1248
381.7458, 230.8252
382.2279, 250.2019
382.7101, 268.9724
383.1922, 287.0144
383.6743, 304.5002
384.1564, 321.4683
384.6385, 338.9436
385.1206, 355.8833
385.6028, 370.5769
386.0849, 382.9941
386.5670, 392.6599
387.0491, 398.0742
387.5312, 400.5408
388.0133, 402.7461
388.4955, 406.5698
388.9776, 409.7834
389.4597, 410.0156
389.9418, 407.5691
390.4239, 404.2981
390.9060, 400.1006
391.3882, 396.2048
391.8703, 393.7217
392.3524, 392.9011
392.8345, 393.3901
393.3166, 395.5417
393.7987, 398.8584
394.2809, 402.3152
394.7630, 405.2322
395.2451, 408.5081
395.7272, 412.6816
396.2093, 417.9221
396.6914, 423.0889
397.1736, 427.9509
397.6557, 432.6167
398.1378, 437.1973
398.6199, 441.0564
399.1020, 445.4727
399.5841, 450.9556
400.0663, 457.2700
400.5484, 462.8645
401.0305, 466.8604
401.5126, 471.0925
401.9947, 476.6033
402.4768, 484.2644
402.9590, 491.0854
403.4411, 496.7715
403.9232, 501.9138
404.4053, 507.4712
404.8874, 513.4653
405.3695, 519.9756
405.8517, 526.9238
406.3338, 534.3489
406.8159, 543.4963
407.2980, 554.6453
407.7801, 566.6445
408.2622, 578.3723
408.7444, 589.8752
409.2265, 601.2629
409.7086, 612.2939
410.1907, 623.5610
410.6728, 636.8390
411.1549, 651.9468
411.6371, 666.6803
412.1192, 678.0205
412.6013, 688.1052
413.0834, 702.3816
413.5655, 721.6689
414.0476, 741.2910
414.5298, 756.4408
415.0119, 768.6692
415.4940, 781.4570
415.9761, 796.8915
416.4582, 812.8291
416.9403, 827.3298
417.4225, 840.5747
417.9046, 853.3352
418.3867, 865.6969
418.8688, 877.7933
419.3509, 889.5243
419.8330, 901.0883
420.3152, 911.2727
420.7973, 920.0377
421.2794, 927.3125
421.7615, 932.9828
422.2436, 935.7290
422.7257, 938.5809
423.2079, 943.0516
423.6900, 949.4004
424.1721, 953.3021
424.6542, 953.3134
425.1363, 951.6755
425.6184, 950.0205
426.1006, 949.5443
426.5827, 947.4023
427.0648, 942.9226
427.5469, 936.6979
428.0290, 930.9290
428.5111, 926.3455
428.9933, 920.7017
429.4754, 912.9312
429.9575, 902.7976
430.4396, 891.9728
430.9217, 880.5454
431.4038, 868.3861
431.8860, 856.0255
432.3681, 843.3635
432.8502, 827.8486
433.3323, 808.1716
433.8144, 785.8008
434.2965, 764.4434
434.7787, 744.1462
435.2608, 724.1536
435.7429, 704.4185
436.2250, 684.7078
436.7071, 664.1888
437.1892, 642.6987
437.6714, 620.2307
438.1535, 596.3838
438.6356, 571.8710
439.1177, 548.4685
439.5998, 526.9928
440.0819, 506.7261
440.5641, 487.5240
441.0462, 469.2256
441.5283, 450.4847
442.0104, 429.6158
442.4925, 408.6678
442.9746, 389.7881
443.4568, 373.9722
443.9389, 358.5387
444.4210, 342.2797
444.9031, 325.9508
445.3852, 311.0146
445.8673, 298.9353
446.3495, 287.0223
446.8316, 274.2759
447.3137, 260.5940
447.7958, 247.4556
448.2779, 234.6636
448.7600, 222.7817
449.2422, 212.3777
449.7243, 204.1473
450.2064, 196.0557
450.6885, 187.7668
451.1706, 179.2278
451.6527, 170.6426
452.1349, 161.9435
452.6170, 153.8671
453.0991, 146.8105
453.5812, 140.4523
454.0633, 134.5282
454.5454, 129.0504
455.0276, 123.7830
455.5097, 118.5815
455.9918, 113.4087
456.4739, 108.2487
456.9560, 102.7953
457.4381, 97.57935
457.9203, 93.82727
458.4024, 91.24597
458.8845, 88.31396
459.3666, 84.40356
459.8488, 79.59717
460.3309, 73.54248
460.8130, 66.10059
461.2951, 59.42798
461.7772, 55.64282
462.2593, 53.36414
462.7415, 51.10828
463.2236, 48.44543
463.7057, 45.69934
464.1878, 43.31592
464.6699, 41.07361
465.1520, 38.05090
465.6342, 32.58423
466.1163, 27.60901
466.5984, 24.54456
467.0805, 24.36548
467.5626, 23.70630
468.0447, 22.14478
468.5269, 20.30591
469.0090, 18.84302
469.4911, 18.26953
469.9732, 17.03198
470.4553, 14.42676
470.9374, 10.99243
471.4196, 9.279663
471.9017, 9.890747
472.3838, 10.35205
472.8659, 8.812744
473.3480, 5.241455
473.8301, 3.585815
474.3123, 4.180298
474.7944, 5.472778
475.2765, 5.454468
475.7586, 4.401001
476.2407, 3.883911
476.7228, 4.907593
477.2050, 6.124756
477.6871, 4.992432
478.1692, 1.990601
478.6513, 0.5664060
479.1334, 0.5936280
479.6155, 0.2874760
480.0977, 0.2307130
480.5798, 1.090942
481.0619, 2.280273
481.5440, 2.729980
482.0261, 2.445190
482.5082, 1.457031
482.9904, 1.733276
483.4725, 4.065674
483.9546, 4.318115
484.4367, 2.828735
484.9188, 1.170410
485.4009, 1.320679
485.8831, 3.201904
486.3652, 3.967773
486.8473, 3.457153
487.3294, 2.382568
487.8115, 0.1857910
488.2936, 1.988159
488.7758, 2.688965
489.2579, 1.095581
