##NAMES=Alluaudite
##RRUFFID=R160082
##IDEAL CHEMISTRY=NaMn^2+^Fe^3+^_2_(PO_4_)_3_
##LOCALITY=Custer, South Dakota, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Dark green massive, associated with muscovite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160082
3.493717e+002, 3.264560e+001
3.498539e+002, 3.269886e+001
3.503360e+002, 3.263417e+001
3.508181e+002, 3.243678e+001
3.513002e+002, 3.217950e+001
3.517823e+002, 3.194679e+001
3.522644e+002, 3.170456e+001
3.527466e+002, 3.160388e+001
3.532287e+002, 3.181383e+001
3.537108e+002, 3.203219e+001
3.541929e+002, 3.210169e+001
3.546750e+002, 3.202452e+001
3.551571e+002, 3.189423e+001
3.556393e+002, 3.176559e+001
3.561214e+002, 3.163885e+001
3.566035e+002, 3.163138e+001
3.570856e+002, 3.190781e+001
3.575677e+002, 3.210628e+001
3.580498e+002, 3.204426e+001
3.585320e+002, 3.182832e+001
3.590141e+002, 3.164582e+001
3.594962e+002, 3.160366e+001
3.599783e+002, 3.165072e+001
3.604604e+002, 3.165642e+001
3.609425e+002, 3.161645e+001
3.614247e+002, 3.154248e+001
3.619068e+002, 3.139007e+001
3.623889e+002, 3.123286e+001
3.628710e+002, 3.113942e+001
3.633531e+002, 3.112872e+001
3.638352e+002, 3.116744e+001
3.643174e+002, 3.124395e+001
3.647995e+002, 3.136967e+001
3.652816e+002, 3.141427e+001
3.657637e+002, 3.132387e+001
3.662458e+002, 3.116619e+001
3.667279e+002, 3.094952e+001
3.672101e+002, 3.069156e+001
3.676922e+002, 3.047424e+001
3.681743e+002, 3.034394e+001
3.686564e+002, 3.029917e+001
3.691385e+002, 3.036984e+001
3.696206e+002, 3.067255e+001
3.701028e+002, 3.086326e+001
3.705849e+002, 3.061683e+001
3.710670e+002, 3.013981e+001
3.715491e+002, 2.980598e+001
3.720312e+002, 2.980733e+001
3.725133e+002, 2.995018e+001
3.729955e+002, 2.994334e+001
3.734776e+002, 2.976697e+001
3.739597e+002, 2.963787e+001
3.744418e+002, 2.971170e+001
3.749239e+002, 2.984243e+001
3.754060e+002, 2.982893e+001
3.758882e+002, 2.962095e+001
3.763703e+002, 2.941429e+001
3.768524e+002, 2.936854e+001
3.773345e+002, 2.944403e+001
3.778166e+002, 2.947951e+001
3.782987e+002, 2.944076e+001
3.787809e+002, 2.934740e+001
3.792630e+002, 2.917779e+001
3.797451e+002, 2.894494e+001
3.802272e+002, 2.879918e+001
3.807093e+002, 2.882489e+001
3.811914e+002, 2.894866e+001
3.816736e+002, 2.909527e+001
3.821557e+002, 2.925989e+001
3.826378e+002, 2.940603e+001
