##NAMES=Ehrleite
##RRUFFID=R180029
##IDEAL CHEMISTRY=Ca_2_Zn^2+^Be(PO_4_)_2_(PO_3_OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer District, Custer Co., South Dakota, USA
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Colorless thick tabular crystals, twinned by a 2-fold parallel to (001)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R180029
431.4038, 0.7553140
431.8860, 1.630108
432.3681, 3.116096
432.8502, 3.937519
433.3323, 3.767544
433.8144, 3.047977
434.2965, 2.561916
434.7787, 2.300827
435.2608, 2.159920
435.7429, 2.184921
436.2250, 2.273636
436.7071, 2.147804
437.1892, 1.782787
437.6714, 1.426308
438.1535, 1.384003
438.6356, 1.500130
439.1177, 1.453506
439.5998, 1.321796
440.0819, 0.8880690
440.5641, 0.4280590
441.0462, 2.356289
441.5283, 3.893623
442.0104, 3.969166
442.4925, 3.760887
442.9746, 4.090775
443.4568, 5.203316
443.9389, 6.212574
444.4210, 6.634998
444.9031, 6.931000
445.3852, 7.644535
445.8673, 9.474392
446.3495, 11.07338
446.8316, 11.94350
447.3137, 12.16000
447.7958, 12.92964
448.2779, 14.81746
448.7600, 16.66043
449.2422, 17.82561
449.7243, 17.87720
450.2064, 18.35056
450.6885, 19.34482
451.1706, 20.63115
451.6527, 22.03978
452.1349, 23.75329
452.6170, 24.83368
453.0991, 24.71734
453.5812, 23.70451
454.0633, 23.63634
454.5454, 24.59432
455.0276, 25.79066
455.5097, 26.70013
455.9918, 27.32922
456.4739, 27.62240
456.9560, 27.51623
457.4381, 27.24084
457.9203, 27.05617
458.4024, 26.95118
458.8845, 26.89191
459.3666, 27.05325
459.8488, 27.14166
460.3309, 26.80035
460.8130, 26.04060
461.2951, 25.08963
461.7772, 23.81678
462.2593, 22.57250
462.7415, 21.73074
463.2236, 21.51234
463.7057, 21.46597
464.1878, 21.64891
464.6699, 21.86404
465.1520, 21.72939
465.6342, 20.89793
466.1163, 19.94723
466.5984, 19.11888
467.0805, 18.47953
467.5626, 17.45679
468.0447, 15.56276
468.5269, 13.67730
469.0090, 12.41004
469.4911, 12.11151
469.9732, 11.73908
470.4553, 11.25233
470.9374, 10.64211
471.4196, 9.873466
471.9017, 8.941944
472.3838, 7.869812
472.8659, 6.560081
473.3480, 5.059505
473.8301, 3.902599
474.3123, 3.080208
474.7944, 2.611725
475.2765, 2.670559
475.7586, 3.141224
476.2407, 3.526703
476.7228, 3.722878
477.2050, 3.820518
477.6871, 3.961720
478.1692, 4.110199
478.6513, 4.147812
479.1334, 3.978828
479.6155, 3.689632
480.0977, 3.190887
480.5798, 2.497459
481.0619, 2.222435
481.5440, 3.279263
482.0261, 4.631344
482.5082, 5.319580
482.9904, 4.595680
483.4725, 3.982021
483.9546, 3.812737
484.4367, 4.053764
484.9188, 4.598846
485.4009, 5.955086
485.8831, 7.029068
486.3652, 7.406479
486.8473, 7.002895
487.3294, 7.280109
487.8115, 8.807255
488.2936, 10.32805
488.7758, 10.86639
489.2579, 10.06202
489.7400, 9.451797
490.2221, 9.192558
490.7042, 9.086006
491.1863, 8.711716
491.6685, 8.088234
492.1506, 7.493500
492.6327, 7.104668
493.1148, 6.801147
493.5969, 6.181000
494.0790, 5.237007
494.5612, 4.167740
495.0433, 3.140114
495.5254, 2.103378
496.0075, 0.7853090
496.4896, 1.064026
496.9717, 2.544022
497.4539, 2.301888
497.9360, 1.138458
498.4181, 0.5066150
498.9002, 1.825348
499.3823, 3.249702
499.8644, 3.799164
500.3466, 3.505112
500.8287, 2.914093
501.3108, 1.737732
501.7929, 0.6416090
502.2750, 3.3119000E-02
502.7571, 0.2057340
503.2393, 0.3562010
503.7214, 0.4681320
504.2035, 0.5413440
504.6856, 0.5768590
505.1677, 0.5810390
505.6498, 0.5241470
506.1320, 0.3559190
506.6141, 0.1182710
507.0962, 0.1574860
507.5783, 0.6054610
508.0604, 0.7779240
508.5425, 1.8310000E-03
509.0247, 1.590195
509.5068, 2.517418
509.9889, 2.669662
510.4710, 2.480522
510.9531, 2.287086
511.4352, 2.140091
511.9174, 2.214287
512.3995, 2.694763
512.8816, 3.241379
513.3637, 3.499397
513.8458, 3.522446
514.3279, 3.482300
514.8101, 3.358765
515.2922, 3.287140
515.7743, 3.339043
516.2564, 3.517113
516.7385, 3.882767
517.2206, 4.604568
517.7028, 5.437653
518.1849, 6.182404
518.6670, 6.962959
519.1491, 7.453499
519.6312, 7.374084
520.1133, 7.042839
520.5955, 7.192238
521.0776, 8.161926
521.5597, 8.964867
522.0418, 9.225174
522.5239, 8.976357
523.0060, 9.020416
523.4882, 9.405884
523.9703, 9.904884
524.4524, 10.48402
524.9345, 11.09267
525.4166, 11.05446
525.8987, 10.09352
526.3809, 9.220428
526.8630, 10.09441
527.3451, 12.19921
527.8272, 13.88100
528.3093, 14.20542
528.7914, 14.07069
529.2736, 14.47149
529.7557, 15.26978
530.2378, 15.82218
530.7199, 15.17447
531.2020, 14.60169
531.6841, 15.27853
532.1663, 17.77223
532.6484, 19.41662
533.1305, 18.66877
533.6126, 17.23069
534.0947, 16.69517
534.5768, 17.83659
535.0590, 19.03685
535.5411, 20.31789
536.0232, 21.56104
536.5053, 22.39722
536.9874, 22.73522
537.4695, 22.84138
537.9517, 22.58677
538.4338, 22.04427
538.9159, 22.73536
539.3980, 24.94292
539.8801, 26.87766
540.3622, 26.53782
540.8444, 24.52724
541.3265, 23.28446
541.8086, 23.18645
542.2907, 23.68897
542.7728, 24.58578
543.2549, 25.60183
543.7371, 26.11699
544.2192, 25.29030
544.7013, 24.37718
545.1834, 24.35056
545.6655, 25.01567
546.1476, 25.58618
546.6298, 25.75965
547.1119, 25.74840
547.5940, 25.51161
548.0761, 24.81276
548.5582, 24.85861
549.0403, 26.35081
549.5225, 28.19730
550.0046, 29.39584
550.4867, 29.11686
550.9688, 30.10048
551.4509, 33.05729
551.9330, 37.04573
552.4152, 39.85799
552.8973, 41.33826
553.3794, 42.95400
553.8615, 45.27285
554.3436, 48.06451
554.8257, 50.87351
555.3079, 53.77780
555.7900, 56.68531
556.2721, 59.17326
556.7542, 61.49226
557.2363, 64.20643
557.7184, 67.46535
558.2006, 71.06063
558.6827, 74.82291
559.1648, 78.84841
559.6469, 83.27422
560.1290, 87.47916
560.6111, 92.67207
561.0933, 99.75395
561.5754, 108.1333
562.0575, 116.1220
562.5396, 122.4157
563.0217, 129.4193
563.5038, 137.8094
563.9860, 147.6533
564.4681, 158.3901
564.9502, 170.1968
565.4323, 182.4855
565.9144, 194.8631
566.3965, 207.4566
566.8787, 220.0030
567.3608, 232.8900
567.8429, 244.2407
568.3250, 252.1697
568.8071, 256.3989
569.2892, 255.0552
569.7714, 246.8196
570.2535, 233.6787
570.7356, 216.7126
571.2177, 196.5583
571.6998, 176.3432
572.1819, 156.0020
572.6641, 136.9440
573.1462, 120.0583
573.6283, 105.2608
574.1104, 92.46420
574.5925, 81.95450
575.0746, 73.09566
575.5568, 65.35339
576.0389, 59.02631
576.5210, 53.49670
577.0031, 48.91004
577.4852, 44.96521
577.9673, 41.23917
578.4495, 37.63454
578.9316, 34.46912
579.4137, 31.76743
579.8958, 29.58582
580.3779, 28.08595
580.8600, 27.27225
581.3422, 26.65028
581.8243, 25.86652
582.3064, 25.10568
582.7885, 24.87177
583.2706, 25.15269
583.7527, 25.47431
584.2349, 25.47106
584.7170, 25.33325
585.1991, 25.19005
585.6812, 24.94129
586.1633, 25.08772
586.6454, 25.93282
587.1276, 27.27114
587.6097, 28.82595
588.0918, 30.56092
588.5739, 32.54661
589.0560, 34.95328
589.5381, 37.60343
