##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
349.4440, 2.186096
349.9261, 2.697205
350.4082, 3.031494
350.8904, 3.168152
351.3725, 3.158691
351.8546, 2.814514
352.3367, 2.221130
352.8188, 1.720154
353.3009, 1.575989
353.7831, 1.625977
354.2652, 1.597473
354.7473, 1.475037
355.2294, 1.498230
355.7115, 2.428467
356.1936, 3.492920
356.6758, 3.581787
357.1579, 1.673828
357.6400, 0.4859010
358.1221, 1.889404
358.6042, 2.485229
359.0863, 2.339966
359.5685, 0.6672970
360.0506, 1.044495
360.5327, 1.705383
361.0148, 0.7808230
361.4969, 9.3200997E-02
361.9790, 0.2026980
362.4612, 0.1621090
362.9433, 0.5307620
363.4254, 0.4298100
363.9075, 0.5517580
364.3896, 1.348328
364.8717, 2.983704
365.3539, 4.229309
365.8360, 4.693726
366.3181, 4.630920
366.8002, 4.387756
367.2823, 3.478333
367.7644, 3.107544
368.2466, 3.651428
368.7287, 4.974854
369.2108, 5.917603
369.6929, 6.322632
370.1750, 6.465881
370.6571, 6.479004
371.1393, 6.369141
371.6214, 6.103516
372.1035, 5.369995
372.5856, 4.590515
373.0677, 4.799744
373.5498, 6.484192
374.0320, 8.255005
374.5141, 9.670288
374.9962, 10.73169
375.4783, 11.32709
375.9604, 11.23053
376.4425, 11.02600
376.9247, 11.50250
377.4068, 12.78381
377.8889, 13.93713
378.3710, 14.71185
378.8531, 15.17096
379.3352, 15.53937
379.8174, 15.78510
380.2995, 16.11993
380.7816, 16.77722
381.2637, 17.71777
381.7458, 18.48798
382.2279, 18.95026
382.7101, 19.40948
383.1922, 20.43854
383.6743, 21.98535
384.1564, 23.59528
384.6385, 25.23450
385.1206, 26.74182
385.6028, 27.66284
386.0849, 27.92969
386.5670, 28.19910
387.0491, 29.16388
387.5312, 30.57538
388.0133, 31.95251
388.4955, 33.19373
388.9776, 34.25897
389.4597, 35.05499
389.9418, 35.60236
390.4239, 36.03253
390.9060, 36.49005
391.3882, 36.83209
391.8703, 36.95288
392.3524, 36.90234
392.8345, 36.48016
393.3166, 35.23065
393.7987, 33.55365
394.2809, 32.26770
394.7630, 32.11713
395.2451, 31.99384
395.7272, 31.38770
396.2093, 30.18701
396.6914, 28.94666
397.1736, 27.78680
397.6557, 26.62189
398.1378, 25.36810
398.6199, 24.42719
399.1020, 22.92407
399.5841, 20.24274
400.0663, 16.67151
400.5484, 14.18671
401.0305, 13.48871
401.5126, 13.12524
401.9947, 12.41846
402.4768, 11.28430
402.9590, 10.01593
403.4411, 8.486267
403.9232, 6.936279
404.4053, 5.855896
404.8874, 5.442200
405.3695, 4.926086
405.8517, 3.971008
406.3338, 2.638977
406.8159, 1.746643
407.2980, 1.394958
407.7801, 1.145508
408.2622, 0.4155270
408.7444, 0.7589110
409.2265, 1.365417
409.7086, 1.065063
410.1907, 0.3072510
410.6728, 2.8870000E-02
411.1549, 0.1927490
411.6371, 0.3469240
412.1192, 9.5275998E-02
412.6013, 0.3356320
413.0834, 0.3907470
413.5655, 1.8066000E-02
414.0476, 0.4768070
414.5298, 0.4940800
415.0119, 0.2806400
415.4940, 0.2568360
415.9761, 1.105774
416.4582, 1.877136
416.9403, 1.338928
417.4225, 0.3458860
417.9046, 1.580566
418.3867, 1.094177
418.8688, 5.0354000E-02
419.3509, 1.003235
419.8330, 1.591675
420.3152, 1.954834
420.7973, 2.062561
421.2794, 1.993103
421.7615, 1.882813
422.2436, 1.901855
422.7257, 1.737122
423.2079, 1.058411
423.6900, 0.2861940
424.1721, 0.9177250
424.6542, 2.1240000E-02
425.1363, 1.248779
425.6184, 1.852966
426.1006, 1.780029
426.5827, 1.132690
427.0648, 0.3435060
427.5469, 2.365173
428.0290, 3.974487
428.5111, 5.250366
428.9933, 5.918091
429.4754, 5.643311
429.9575, 4.217529
430.4396, 3.257751
430.9217, 2.752319
431.4038, 2.712646
431.8860, 3.265869
432.3681, 4.433594
432.8502, 5.660828
433.3323, 6.881409
433.8144, 8.027283
434.2965, 8.865906
434.7787, 9.411560
435.2608, 9.871887
435.7429, 10.21271
436.2250, 10.60358
436.7071, 11.56964
437.1892, 13.29474
437.6714, 15.11273
438.1535, 16.22540
438.6356, 16.87610
439.1177, 17.58063
439.5998, 18.31647
440.0819, 19.37164
440.5641, 21.12921
441.0462, 23.52362
441.5283, 25.95447
442.0104, 28.06238
442.4925, 30.04327
442.9746, 32.01306
443.4568, 33.97632
443.9389, 35.97607
444.4210, 38.04431
444.9031, 40.15021
445.3852, 42.25037
445.8673, 44.36133
446.3495, 46.41577
446.8316, 48.30872
