##NAMES=Adelite
##RRUFFID=R140962
##IDEAL CHEMISTRY=CaMgAs^5+^O_4_(OH)
##LOCALITY=Sterling Hill, Ogdensburg, Franklin Mining District, Sussex County, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Massive aggregate of smokey orange granular crystals, associated with red zincite and black franklinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140962
337.3911, 232.9175
337.8732, 227.3862
338.3553, 220.5969
338.8374, 215.4333
339.3195, 213.1558
339.8017, 213.6848
340.2838, 213.7542
340.7659, 212.9424
341.2480, 212.8577
341.7301, 216.1216
342.2122, 223.0728
342.6944, 227.7917
343.1765, 227.8838
343.6586, 225.2944
344.1407, 226.6780
344.6228, 232.1897
345.1049, 239.3435
345.5871, 246.2876
346.0692, 253.2329
346.5513, 261.0183
347.0334, 270.0750
347.5155, 279.4253
347.9977, 286.8259
348.4798, 292.5967
348.9619, 298.7668
349.4440, 307.6179
349.9261, 317.6091
350.4082, 325.0781
350.8904, 329.6379
351.3725, 332.8123
351.8546, 336.6736
352.3367, 340.5032
352.8188, 342.4927
353.3009, 341.9001
353.7831, 339.0200
354.2652, 333.5071
354.7473, 325.4663
355.2294, 317.0991
355.7115, 309.6663
356.1936, 302.9731
356.6758, 296.7974
357.1579, 291.1077
357.6400, 285.8052
358.1221, 280.8162
358.6042, 276.1794
359.0863, 271.8762
359.5685, 268.6165
360.0506, 265.2820
360.5327, 260.9890
361.0148, 255.3594
361.4969, 249.4280
361.9790, 243.2500
362.4612, 237.1208
362.9433, 231.4490
363.4254, 226.8901
363.9075, 222.3176
364.3896, 217.3521
364.8717, 211.9587
365.3539, 205.9932
365.8360, 199.1921
366.3181, 191.8909
366.8002, 184.2712
367.2823, 176.8184
367.7644, 168.4888
368.2466, 158.4058
368.7287, 146.7805
369.2108, 136.5298
369.6929, 127.7058
370.1750, 120.1316
370.6571, 113.9102
371.1393, 110.3071
371.6214, 105.8376
372.1035, 100.3474
372.5856, 94.01978
373.0677, 87.21265
373.5498, 79.48535
374.0320, 72.08838
374.5141, 65.56372
374.9962, 60.01758
375.4783, 54.61450
375.9604, 49.36401
376.4425, 44.31909
376.9247, 39.39746
377.4068, 34.50293
377.8889, 30.66943
378.3710, 28.74341
378.8531, 28.05273
379.3352, 25.33447
379.8174, 20.33228
380.2995, 15.73877
380.7816, 13.64624
381.2637, 13.62646
381.7458, 13.85815
382.2279, 14.45703
382.7101, 14.99634
383.1922, 14.53442
383.6743, 13.26050
384.1564, 12.10645
384.6385, 10.87671
385.1206, 9.953857
385.6028, 10.76343
386.0849, 13.66846
386.5670, 16.77881
387.0491, 18.30444
387.5312, 18.78271
388.0133, 19.29419
388.4955, 20.07202
388.9776, 21.17041
389.4597, 22.73975
389.9418, 24.70557
390.4239, 26.67749
390.9060, 29.12671
391.3882, 31.11133
391.8703, 31.53809
392.3524, 29.32764
392.8345, 27.40283
393.3166, 27.06543
393.7987, 28.01587
394.2809, 29.63623
394.7630, 32.91113
395.2451, 35.78125
395.7272, 36.98535
396.2093, 36.00269
396.6914, 35.96387
397.1736, 38.99438
397.6557, 42.48657
398.1378, 44.05347
398.6199, 40.00146
399.1020, 37.83472
399.5841, 39.47900
400.0663, 44.22510
400.5484, 47.34937
401.0305, 47.41016
401.5126, 47.42139
401.9947, 49.11792
402.4768, 54.15527
402.9590, 56.76709
403.4411, 55.65674
403.9232, 53.16650
404.4053, 53.79224
404.8874, 58.83691
405.3695, 63.22632
405.8517, 65.10986
406.3338, 64.70557
406.8159, 65.33081
407.2980, 67.19580
407.7801, 69.44897
408.2622, 70.92627
408.7444, 71.70337
409.2265, 73.66382
409.7086, 77.34790
410.1907, 82.09741
410.6728, 86.75342
411.1549, 91.30713
411.6371, 95.80249
412.1192, 100.4531
412.6013, 104.9556
413.0834, 108.3018
413.5655, 110.1960
414.0476, 112.2529
414.5298, 115.9402
415.0119, 120.9453
415.4940, 126.8032
415.9761, 135.3127
416.4582, 143.0417
416.9403, 145.8293
417.4225, 144.4958
417.9046, 143.8694
418.3867, 147.8621
418.8688, 153.1428
419.3509, 156.9404
419.8330, 158.6309
420.3152, 159.1543
420.7973, 158.5588
421.2794, 157.1377
421.7615, 155.4187
422.2436, 153.6067
422.7257, 151.5176
423.2079, 148.9314
423.6900, 145.7573
424.1721, 142.9866
424.6542, 140.9204
425.1363, 139.1313
425.6184, 137.2942
426.1006, 135.6062
426.5827, 133.5950
427.0648, 131.9023
427.5469, 129.7593
428.0290, 124.3813
428.5111, 114.5759
428.9933, 103.7373
429.4754, 93.12964
429.9575, 82.59546
