##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
1.994005e+002, 6.747653e+002
1.998826e+002, 6.736619e+002
2.003647e+002, 6.697479e+002
2.008468e+002, 6.626412e+002
2.013289e+002, 6.585906e+002
2.018111e+002, 6.583303e+002
2.022932e+002, 6.601860e+002
2.027753e+002, 6.614437e+002
2.032574e+002, 6.621182e+002
2.037395e+002, 6.621422e+002
2.042216e+002, 6.612208e+002
2.047038e+002, 6.591351e+002
2.051859e+002, 6.575093e+002
2.056680e+002, 6.561148e+002
2.061501e+002, 6.554357e+002
2.066322e+002, 6.570087e+002
2.071143e+002, 6.617809e+002
2.075965e+002, 6.657576e+002
2.080786e+002, 6.665533e+002
2.085607e+002, 6.631312e+002
2.090428e+002, 6.618324e+002
2.095249e+002, 6.633394e+002
2.100070e+002, 6.664553e+002
2.104892e+002, 6.687291e+002
2.109713e+002, 6.700302e+002
2.114534e+002, 6.708461e+002
2.119355e+002, 6.712089e+002
2.124176e+002, 6.708082e+002
2.128997e+002, 6.712604e+002
2.133819e+002, 6.728333e+002
2.138640e+002, 6.751228e+002
2.143461e+002, 6.774534e+002
2.148282e+002, 6.801112e+002
2.153103e+002, 6.822318e+002
2.157924e+002, 6.832902e+002
2.162746e+002, 6.828000e+002
2.167567e+002, 6.827710e+002
2.172388e+002, 6.830642e+002
2.177209e+002, 6.838942e+002
2.182030e+002, 6.859689e+002
2.186851e+002, 6.900403e+002
2.191673e+002, 6.938792e+002
2.196494e+002, 6.962772e+002
2.201315e+002, 6.964249e+002
2.206136e+002, 6.975017e+002
2.210957e+002, 6.997637e+002
2.215778e+002, 7.028524e+002
2.220600e+002, 7.058087e+002
2.225421e+002, 7.085756e+002
2.230242e+002, 7.113771e+002
2.235063e+002, 7.142842e+002
2.239884e+002, 7.171060e+002
2.244705e+002, 7.205455e+002
2.249527e+002, 7.248530e+002
2.254348e+002, 7.297011e+002
2.259169e+002, 7.341093e+002
2.263990e+002, 7.378887e+002
2.268811e+002, 7.416192e+002
2.273632e+002, 7.454469e+002
2.278454e+002, 7.493040e+002
2.283275e+002, 7.534935e+002
2.288096e+002, 7.576183e+002
2.292917e+002, 7.622727e+002
2.297738e+002, 7.687733e+002
2.302559e+002, 7.781223e+002
2.307381e+002, 7.876796e+002
2.312202e+002, 7.962102e+002
2.317023e+002, 8.029891e+002
2.321844e+002, 8.105853e+002
2.326665e+002, 8.185123e+002
2.331486e+002, 8.274160e+002
2.336308e+002, 8.388809e+002
2.341129e+002, 8.542088e+002
2.345950e+002, 8.700443e+002
2.350771e+002, 8.852648e+002
2.355592e+002, 8.999635e+002
2.360413e+002, 9.137322e+002
2.365235e+002, 9.265565e+002
2.370056e+002, 9.385881e+002
2.374877e+002, 9.503638e+002
2.379698e+002, 9.622853e+002
2.384519e+002, 9.731283e+002
2.389340e+002, 9.825197e+002
2.394162e+002, 9.905529e+002
2.398983e+002, 9.969727e+002
2.403804e+002, 1.002735e+003
2.408625e+002, 1.006419e+003
2.413446e+002, 1.005324e+003
