##NAMES=Parasymplesite
##RRUFFID=R150137
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Kiura Mine, Oita Pref., Kyushu Island, Japan
##OWNER=RRUFF
##SOURCE=Jeremie Pfister
##DESCRIPTION=Aggregates of dark-bluish grey euhedral crystals, associated with smoky scorodite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150137
2.153433e+002, 1.948695e+003
2.158254e+002, 1.947400e+003
2.163075e+002, 1.946105e+003
2.167896e+002, 1.945574e+003
2.172717e+002, 1.946368e+003
2.177539e+002, 1.948158e+003
2.182360e+002, 1.949492e+003
2.187181e+002, 1.950381e+003
2.192002e+002, 1.950712e+003
2.196823e+002, 1.950043e+003
2.201644e+002, 1.948937e+003
2.206466e+002, 1.948311e+003
2.211287e+002, 1.948838e+003
2.216108e+002, 1.950109e+003
2.220929e+002, 1.949726e+003
2.225750e+002, 1.944499e+003
2.230571e+002, 1.941131e+003
2.235393e+002, 1.942006e+003
2.240214e+002, 1.945192e+003
2.245035e+002, 1.947997e+003
2.249856e+002, 1.948825e+003
2.254677e+002, 1.947900e+003
2.259498e+002, 1.946557e+003
2.264320e+002, 1.943537e+003
2.269141e+002, 1.941490e+003
2.273962e+002, 1.941654e+003
2.278783e+002, 1.942960e+003
2.283604e+002, 1.943678e+003
2.288425e+002, 1.942764e+003
2.293247e+002, 1.940572e+003
2.298068e+002, 1.939151e+003
2.302889e+002, 1.938250e+003
2.307710e+002, 1.938310e+003
2.312531e+002, 1.940322e+003
2.317352e+002, 1.943285e+003
2.322174e+002, 1.945405e+003
2.326995e+002, 1.945648e+003
2.331816e+002, 1.944480e+003
2.336637e+002, 1.943959e+003
2.341458e+002, 1.944925e+003
2.346279e+002, 1.945437e+003
2.351101e+002, 1.944373e+003
2.355922e+002, 1.942531e+003
2.360743e+002, 1.941595e+003
2.365564e+002, 1.942509e+003
2.370385e+002, 1.944651e+003
2.375206e+002, 1.946014e+003
2.380028e+002, 1.946644e+003
2.384849e+002, 1.946700e+003
2.389670e+002, 1.946050e+003
2.394491e+002, 1.944868e+003
2.399312e+002, 1.943487e+003
2.404133e+002, 1.942004e+003
