##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce^3+^_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
339.8017, 130.9209
340.2838, 132.5107
340.7659, 132.6855
341.2480, 131.8057
341.7301, 128.8555
342.2122, 123.4258
342.6944, 122.6201
343.1765, 129.2832
343.6586, 141.0342
344.1407, 150.0020
344.6228, 156.0117
345.1049, 160.2441
345.5871, 161.6914
346.0692, 161.2285
346.5513, 165.0391
347.0334, 174.8076
347.5155, 187.2793
347.9977, 197.6836
348.4798, 206.1025
348.9619, 212.3154
349.4440, 215.4111
349.9261, 216.3408
350.4082, 217.0420
350.8904, 217.5664
351.3725, 218.3447
351.8546, 219.3594
352.3367, 220.9248
352.8188, 224.0273
353.3009, 231.9551
353.7831, 240.2412
354.2652, 241.5098
354.7473, 236.0410
355.2294, 232.9092
355.7115, 243.1035
356.1936, 258.3467
356.6758, 267.4062
357.1579, 263.1338
357.6400, 256.9180
358.1221, 257.3086
358.6042, 262.7656
359.0863, 267.6729
359.5685, 268.0371
360.0506, 267.6074
360.5327, 269.5762
361.0148, 275.7100
361.4969, 281.0508
361.9790, 282.8584
362.4612, 282.5928
362.9433, 282.7852
363.4254, 282.6533
363.9075, 284.3564
364.3896, 290.0273
364.8717, 300.5850
365.3539, 307.9775
365.8360, 309.5781
366.3181, 307.5957
366.8002, 304.1895
367.2823, 294.8379
367.7644, 289.0967
368.2466, 290.9189
368.7287, 299.3086
369.2108, 302.8848
369.6929, 298.6465
370.1750, 292.3076
370.6571, 286.7090
371.1393, 282.0078
371.6214, 277.8838
372.1035, 274.1270
372.5856, 271.1348
373.0677, 270.2100
373.5498, 273.5391
374.0320, 274.9248
374.5141, 271.1045
374.9962, 261.0996
375.4783, 255.5713
375.9604, 256.2871
376.4425, 258.6689
376.9247, 256.7852
377.4068, 249.8975
377.8889, 243.5303
378.3710, 239.4873
378.8531, 236.8574
379.3352, 231.8340
379.8174, 224.6182
380.2995, 217.3311
380.7816, 209.9668
381.2637, 202.6377
381.7458, 199.8438
382.2279, 203.3301
382.7101, 208.5654
383.1922, 208.2695
383.6743, 203.7148
384.1564, 198.7373
384.6385, 192.6357
385.1206, 186.7939
385.6028, 186.1387
386.0849, 191.8184
386.5670, 197.4512
387.0491, 196.5293
387.5312, 191.1191
388.0133, 185.3828
388.4955, 179.9844
388.9776, 175.4561
389.4597, 173.2295
389.9418, 172.8691
390.4239, 171.5303
390.9060, 165.6396
391.3882, 159.0557
391.8703, 155.4941
392.3524, 156.9941
