##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
332.9797, 2.108032
333.4619, 1.145386
333.9440, 0.6606450
334.4261, 1.128418
334.9082, 2.129395
335.3904, 2.639526
335.8725, 2.161865
336.3546, 1.975708
336.8367, 2.460388
337.3188, 3.031189
337.8009, 3.205750
338.2831, 2.889404
338.7652, 2.321777
339.2473, 1.833191
339.7294, 1.512085
340.2115, 0.9705200
340.6936, 0.1323240
341.1758, 1.134094
341.6579, 1.743225
342.1400, 1.959839
342.6221, 1.892151
343.1042, 1.597534
343.5863, 1.079468
344.0685, 0.6499630
344.5506, 0.9097900
345.0327, 0.6286010
345.5148, 1.047241
345.9969, 3.343201
346.4790, 5.058838
346.9612, 5.537903
347.4433, 5.052429
347.9254, 4.423401
348.4075, 3.473511
348.8896, 2.693420
349.3717, 2.316162
349.8539, 2.015198
350.3360, 1.342590
350.8181, 0.2143550
351.3002, 0.7898560
351.7823, 0.6314700
352.2644, 1.240784
352.7466, 2.474426
353.2287, 2.417297
353.7108, 2.192810
354.1929, 2.382385
354.6750, 2.944885
355.1571, 3.488098
355.6393, 3.556519
356.1214, 3.127319
356.6035, 3.095337
357.0856, 4.080444
357.5677, 4.855530
358.0498, 4.587097
358.5320, 3.847351
359.0141, 3.759338
359.4962, 5.208801
359.9783, 7.349365
360.4604, 7.468811
360.9425, 4.350586
361.4247, 2.049683
361.9068, 2.502075
362.3889, 3.844910
362.8710, 4.268982
363.3531, 3.249084
363.8352, 2.114014
364.3174, 2.809753
364.7995, 5.611450
365.2816, 7.385620
365.7637, 6.874878
366.2458, 5.759583
366.7279, 4.801270
367.2101, 4.133972
367.6922, 4.088623
368.1743, 5.655396
368.6564, 8.232605
369.1385, 8.737610
369.6206, 5.874268
370.1028, 3.243958
370.5849, 3.597168
371.0670, 5.580688
371.5491, 6.815186
372.0312, 6.264038
372.5133, 4.768921
372.9955, 3.205994
373.4776, 1.528381
373.9597, 0.7095950
374.4418, 1.726013
374.9239, 3.438843
375.4060, 4.391785
375.8882, 4.354797
376.3703, 4.297119
376.8524, 4.965149
377.3345, 6.195618
377.8166, 7.344360
378.2987, 8.312195
378.7809, 9.071594
379.2630, 9.588135
379.7451, 9.886292
380.2272, 9.980774
380.7093, 9.499084
381.1914, 8.991089
381.6736, 9.279541
382.1557, 10.44849
382.6378, 11.85364
383.1199, 13.24396
383.6020, 14.48590
384.0841, 15.18451
384.5663, 14.89362
385.0484, 14.49969
385.5305, 14.36456
386.0126, 14.51855
386.4947, 15.16229
386.9768, 16.51440
387.4590, 18.12012
387.9411, 18.91559
388.4232, 18.62360
388.9053, 18.52631
389.3874, 19.05164
389.8695, 19.81909
390.3517, 20.45660
390.8338, 20.88489
391.3159, 21.09308
391.7980, 21.06677
392.2801, 20.78436
392.7622, 20.31512
393.2444, 19.44055
393.7265, 18.60504
394.2086, 18.20715
394.6907, 18.05157
395.1728, 17.54852
395.6549, 16.32013
396.1371, 14.59698
396.6192, 13.35516
397.1013, 13.04443
397.5834, 12.67163
398.0655, 12.00513
398.5476, 11.32416
399.0298, 10.99915
399.5119, 11.10095
399.9940, 11.20203
400.4761, 10.71655
400.9582, 9.554810
401.4403, 8.168762
401.9225, 6.143250
402.4046, 4.271118
402.8867, 2.872559
403.3688, 1.989746
403.8509, 1.599792
404.3330, 1.788086
404.8152, 2.389160
405.2973, 2.422058
405.7794, 1.234192
406.2615, 0.4534300
406.7436, 0.3898930
407.2257, 0.8252560
407.7079, 1.735840
408.1900, 3.084473
408.6721, 4.338745
409.1542, 4.748718
409.6363, 4.303040
410.1184, 3.397095
410.6006, 1.389099
411.0827, 0.5336910
411.5648, 1.905762
412.0469, 2.693359
412.5290, 2.895203
413.0111, 2.199951
413.4933, 0.9674070
413.9754, 0.4392700
414.4575, 0.8700560
414.9396, 1.316772
415.4217, 1.592224
415.9038, 1.528748
416.3860, 0.7377320
416.8681, 1.082031
417.3502, 2.942444
417.8323, 3.817505
418.3144, 3.810364
418.7965, 3.817200
419.2787, 4.144104
419.7608, 4.417725
420.2429, 4.191345
420.7250, 3.505432
421.2071, 2.754822
421.6892, 1.856506
422.1714, 1.064148
422.6535, 0.8551030
423.1356, 1.263611
423.6177, 1.607117
424.0998, 1.298035
424.5819, 0.5824580
425.0641, 0.5161130
425.5462, 1.526306
426.0283, 2.633789
426.5104, 3.493469
426.9925, 4.150452
427.4746, 4.790771
427.9568, 5.515747
428.4389, 5.934204
428.9210, 5.388733
429.4031, 3.387695
429.8852, 1.749756
430.3673, 0.4246830
430.8495, 0.5064700
431.3316, 1.141052
431.8137, 1.383911
432.2958, 0.7534790
432.7779, 1.236450
433.2600, 4.299927
433.7422, 6.078186
434.2243, 5.454285
434.7064, 4.812439
435.1885, 3.872375
435.6706, 3.310730
436.1527, 4.247986
436.6349, 6.865479
437.1170, 9.726013
437.5991, 10.52728
438.0812, 8.335266
438.5633, 7.519287
439.0454, 9.711243
439.5276, 11.76562
440.0097, 12.40179
440.4918, 11.90088
440.9739, 11.08246
441.4560, 10.34888
441.9381, 9.770020
442.4203, 9.594116
442.9024, 10.00220
443.3845, 10.35034
443.8666, 10.42126
444.3487, 10.37268
444.8308, 10.22528
445.3130, 9.989563
445.7951, 9.986206
446.2772, 10.56897
446.7593, 11.64423
447.2414, 12.75397
447.7235, 13.89850
448.2057, 14.96436
448.6878, 15.94110
449.1699, 16.78400
449.6520, 17.30731
450.1341, 17.09662
450.6162, 16.88519
451.0984, 17.50165
451.5805, 18.80701
452.0626, 19.96942
452.5447, 20.70367
453.0268, 21.04486
453.5089, 20.87219
453.9911, 19.97748
454.4732, 19.58124
454.9553, 20.28644
455.4374, 21.42694
455.9195, 22.50702
456.4016, 23.39722
456.8838, 23.77393
457.3659, 23.29279
457.8480, 22.01245
458.3301, 21.00745
458.8122, 20.17749
459.2943, 19.68176
459.7765, 19.94928
460.2586, 20.42871
460.7407, 20.40759
461.2228, 19.65308
461.7049, 18.41748
462.1870, 16.93054
462.6692, 14.78937
463.1513, 13.75848
463.6334, 15.01483
464.1155, 16.17102
464.5976, 16.13922
465.0797, 15.22290
465.5619, 14.20209
466.0440, 13.51056
466.5261, 13.11914
467.0082, 12.98181
467.4903, 13.15613
467.9724, 13.42645
468.4546, 13.91760
468.9367, 14.30951
469.4188, 14.37335
469.9009, 14.11963
470.3830, 13.70190
470.8651, 13.13623
471.3473, 12.54376
471.8294, 12.21484
472.3115, 12.09552
472.7936, 12.21515
473.2757, 12.88586
473.7578, 13.78705
474.2400, 14.29608
474.7221, 14.14594
475.2042, 13.83929
475.6863, 13.73846
476.1684, 13.78674
476.6505, 13.90521
477.1327, 14.13605
477.6148, 14.15765
478.0969, 13.45575
478.5790, 11.90424
479.0611, 10.59912
479.5432, 9.486755
480.0254, 8.745972
480.5075, 8.796936
480.9896, 9.349243
481.4717, 9.448669
481.9538, 8.489929
482.4359, 7.091858
482.9181, 7.056702
483.4002, 9.960999
483.8823, 11.95563
484.3644, 12.53467
484.8465, 12.58759
485.3286, 12.88806
485.8108, 13.37164
486.2929, 13.27087
486.7750, 11.70111
487.2571, 8.942200
487.7392, 7.458130
488.2213, 7.756165
488.7035, 8.529297
489.1856, 9.977966
489.6677, 11.38232
490.1498, 11.88440
490.6319, 11.27612
491.1140, 10.44403
491.5962, 10.41571
492.0783, 11.06628
492.5604, 11.31830
493.0425, 10.84381
493.5246, 10.39594
494.0067, 10.64349
494.4889, 11.33051
494.9710, 11.90649
495.4531, 12.22900
495.9352, 12.43195
496.4173, 12.50507
496.8994, 12.52826
497.3816, 12.85614
497.8637, 13.66272
498.3458, 14.61932
498.8279, 15.31305
499.3100, 15.72626
499.7921, 15.93610
500.2743, 16.01654
500.7564, 15.87469
501.2385, 14.94617
501.7206, 13.68701
502.2027, 13.52521
502.6848, 15.31580
503.1670, 18.21881
503.6491, 19.86206
504.1312, 19.05701
504.6133, 18.90887
505.0954, 19.51404
505.5775, 20.77271
506.0597, 23.29645
506.5418, 26.58624
507.0239, 28.89960
507.5060, 28.57281
507.9881, 26.27234
508.4702, 25.28107
508.9524, 26.22137
509.4345, 27.06775
509.9166, 27.04865
510.3987, 26.70209
510.8808, 26.56293
511.3629, 26.71863
511.8451, 26.65411
512.3271, 25.90662
512.8093, 24.65027
513.2914, 23.34033
513.7735, 21.99390
514.2556, 20.72235
514.7377, 19.49603
515.2198, 18.43353
515.7020, 17.88141
516.1841, 18.39429
516.6662, 18.62677
517.1483, 17.67474
517.6304, 16.14209
518.1125, 14.98444
518.5947, 14.43713
519.0768, 14.28766
519.5589, 14.41821
520.0410, 14.94556
520.5231, 14.55414
521.0052, 12.13959
521.4874, 10.19550
521.9695, 9.575623
522.4516, 9.880920
522.9337, 10.80096
523.4158, 12.16046
523.8979, 13.24225
524.3801, 12.70203
524.8622, 10.07013
525.3443, 8.336243
525.8264, 8.199158
526.3085, 8.332947
526.7906, 8.111938
527.2728, 7.747131
527.7549, 7.728821
528.2370, 8.392456
528.7191, 9.166687
529.2012, 9.314575
529.6833, 8.863464
530.1655, 8.164124
530.6476, 7.071411
531.1297, 6.135925
531.6118, 6.179749
532.0939, 7.051514
532.5760, 7.704102
533.0582, 7.915894
533.5403, 7.851074
534.0224, 7.535278
534.5045, 7.041504
534.9866, 6.521118
535.4688, 6.027466
535.9509, 5.664124
536.4330, 5.669312
536.9151, 6.400940
537.3972, 6.639465
537.8793, 6.087402
538.3615, 5.367615
538.8436, 4.724060
539.3257, 4.200806
539.8078, 3.752869
540.2899, 3.331055
540.7720, 3.094727
541.2542, 3.569702
541.7363, 5.135132
542.2184, 6.105347
542.7005, 5.566040
543.1826, 4.905640
543.6647, 5.082520
544.1469, 5.893127
544.6290, 6.386902
545.1111, 5.939880
545.5932, 5.012085
546.0753, 4.162170
546.5574, 3.402710
547.0396, 3.034851
