##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
334.4747, 0.3805200
334.9568, 0.5088270
335.4390, 1.066395
335.9211, 1.283676
336.4032, 0.9415050
336.8853, 0.6699030
337.3674, 2.037571
337.8495, 2.772690
338.3317, 3.031948
338.8138, 3.107788
339.2959, 3.159084
339.7780, 3.135086
340.2601, 2.867828
340.7422, 1.906635
341.2244, 1.298553
341.7065, 1.283321
342.1886, 1.511013
342.6707, 1.661201
343.1528, 1.648350
343.6349, 1.617783
344.1171, 1.784161
344.5992, 2.285416
345.0813, 2.678490
345.5634, 3.325539
346.0455, 3.498962
346.5276, 2.355194
347.0098, 0.2378460
347.4919, 1.406025
347.9740, 1.141697
348.4561, 1.170029
348.9382, 2.688084
349.4203, 3.080013
349.9025, 2.989574
350.3846, 2.220253
350.8667, 1.144634
351.3488, 0.4173740
351.8309, 0.4786340
352.3130, 1.054161
352.7952, 0.9651450
353.2773, 0.9289590
353.7594, 1.732796
354.2415, 1.6799999E-02
354.7236, 2.394192
355.2057, 3.632927
355.6879, 3.101162
356.1700, 1.655479
356.6521, 0.5315060
357.1342, 0.4502720
357.6163, 0.5730550
358.0984, 1.286369
358.5806, 3.117737
359.0627, 3.608829
359.5448, 2.813480
360.0269, 1.783752
360.5090, 1.554180
360.9911, 2.157692
361.4733, 2.499287
361.9554, 2.450775
362.4375, 2.259926
362.9196, 1.863354
363.4017, 1.411804
363.8839, 1.200035
364.3660, 1.466396
364.8481, 2.016373
365.3302, 2.254398
365.8123, 2.038364
366.2944, 1.830612
366.7766, 1.546726
367.2587, 1.402248
367.7408, 1.771988
368.2229, 2.839417
368.7050, 3.922516
369.1871, 3.944748
369.6692, 2.800613
370.1513, 2.070248
370.6335, 2.528427
371.1156, 3.130737
371.5977, 3.106220
372.0798, 2.461674
372.5619, 1.723827
373.0440, 1.156357
373.5262, 0.7741700
374.0083, 0.6724210
374.4904, 0.9333040
374.9725, 1.332172
375.4546, 1.900490
375.9367, 2.487621
376.4189, 2.729820
376.9010, 2.350582
377.3831, 1.709278
377.8652, 1.182812
378.3473, 0.7587430
378.8294, 0.5766750
379.3116, 0.7486840
379.7937, 1.219955
380.2758, 1.941772
380.7579, 3.080685
381.2400, 4.001453
381.7221, 4.196888
382.2043, 3.830853
382.6864, 3.293430
383.1685, 2.497238
383.6506, 1.947941
384.1327, 2.796898
384.6148, 5.032452
385.0970, 6.196739
385.5791, 4.642876
386.0612, 2.186134
386.5433, 1.099194
387.0254, 1.610832
387.5075, 2.506195
387.9897, 2.942722
388.4718, 2.927132
388.9539, 2.791790
389.4360, 2.398354
389.9181, 2.033100
390.4002, 1.882072
390.8824, 1.909218
391.3645, 1.912823
391.8466, 1.765877
392.3287, 1.548779
392.8108, 1.356094
393.2929, 1.283413
393.7751, 1.089836
394.2572, 0.5385740
394.7393, 4.9816001E-02
395.2214, 5.0732002E-02
395.7035, 0.3097500
396.1856, 1.016323
