##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
2.023984e+002, 1.628072e+003
2.028805e+002, 1.627743e+003
2.033626e+002, 1.626300e+003
2.038447e+002, 1.625797e+003
2.043269e+002, 1.626385e+003
2.048090e+002, 1.627367e+003
2.052911e+002, 1.628276e+003
2.057732e+002, 1.629017e+003
2.062553e+002, 1.630484e+003
2.067374e+002, 1.633165e+003
2.072196e+002, 1.636329e+003
2.077017e+002, 1.637686e+003
2.081838e+002, 1.636587e+003
2.086659e+002, 1.635486e+003
2.091480e+002, 1.635922e+003
2.096301e+002, 1.638331e+003
2.101123e+002, 1.640331e+003
2.105944e+002, 1.641737e+003
2.110765e+002, 1.642704e+003
2.115586e+002, 1.643625e+003
2.120407e+002, 1.644446e+003
2.125228e+002, 1.645353e+003
2.130050e+002, 1.646432e+003
2.134871e+002, 1.647679e+003
2.139692e+002, 1.649103e+003
2.144513e+002, 1.650780e+003
2.149334e+002, 1.652585e+003
2.154155e+002, 1.654195e+003
2.158977e+002, 1.655532e+003
2.163798e+002, 1.656782e+003
2.168619e+002, 1.657993e+003
2.173440e+002, 1.659083e+003
2.178261e+002, 1.660338e+003
2.183082e+002, 1.661881e+003
2.187904e+002, 1.663530e+003
2.192725e+002, 1.664646e+003
2.197546e+002, 1.664850e+003
2.202367e+002, 1.665175e+003
2.207188e+002, 1.666346e+003
2.212009e+002, 1.669145e+003
2.216831e+002, 1.670686e+003
2.221652e+002, 1.670455e+003
2.226473e+002, 1.669076e+003
2.231294e+002, 1.668345e+003
2.236115e+002, 1.668529e+003
2.240936e+002, 1.668988e+003
2.245758e+002, 1.669449e+003
2.250579e+002, 1.669903e+003
2.255400e+002, 1.670476e+003
2.260221e+002, 1.671339e+003
2.265042e+002, 1.672303e+003
2.269863e+002, 1.672741e+003
2.274685e+002, 1.672236e+003
2.279506e+002, 1.671856e+003
2.284327e+002, 1.672058e+003
2.289148e+002, 1.672916e+003
2.293969e+002, 1.674195e+003
2.298790e+002, 1.676104e+003
2.303612e+002, 1.678343e+003
2.308433e+002, 1.680169e+003
2.313254e+002, 1.681511e+003
2.318075e+002, 1.682520e+003
2.322896e+002, 1.683018e+003
2.327717e+002, 1.682047e+003
2.332539e+002, 1.683033e+003
2.337360e+002, 1.687243e+003
2.342181e+002, 1.692911e+003
2.347002e+002, 1.695796e+003
2.351823e+002, 1.694014e+003
2.356644e+002, 1.692211e+003
2.361466e+002, 1.692357e+003
2.366287e+002, 1.695468e+003
2.371108e+002, 1.697696e+003
2.375929e+002, 1.698669e+003
2.380750e+002, 1.698879e+003
2.385571e+002, 1.699285e+003
2.390393e+002, 1.699875e+003
2.395214e+002, 1.700712e+003
2.400035e+002, 1.701932e+003
2.404856e+002, 1.703893e+003
2.409677e+002, 1.705256e+003
2.414498e+002, 1.705877e+003
2.419320e+002, 1.706030e+003
2.424141e+002, 1.706226e+003
2.428962e+002, 1.706731e+003
2.433783e+002, 1.706920e+003
2.438604e+002, 1.706458e+003
2.443425e+002, 1.705009e+003
2.448247e+002, 1.704278e+003
2.453068e+002, 1.704526e+003
2.457889e+002, 1.705350e+003
2.462710e+002, 1.706125e+003
2.467531e+002, 1.706812e+003
2.472352e+002, 1.707479e+003
2.477174e+002, 1.707980e+003
2.481995e+002, 1.708057e+003
2.486816e+002, 1.709234e+003
2.491637e+002, 1.712201e+003
2.496458e+002, 1.715718e+003
2.501279e+002, 1.717922e+003
2.506101e+002, 1.718078e+003
2.510922e+002, 1.718298e+003
2.515743e+002, 1.719223e+003
2.520564e+002, 1.720992e+003
2.525385e+002, 1.722373e+003
2.530206e+002, 1.723314e+003
2.535028e+002, 1.723917e+003
2.539849e+002, 1.724176e+003
2.544670e+002, 1.723684e+003
2.549491e+002, 1.723744e+003
2.554312e+002, 1.724796e+003
2.559133e+002, 1.726898e+003
2.563955e+002, 1.728895e+003
2.568776e+002, 1.730769e+003
2.573597e+002, 1.732567e+003
2.578418e+002, 1.734416e+003
2.583239e+002, 1.736591e+003
2.588061e+002, 1.738144e+003
2.592882e+002, 1.738700e+003
2.597703e+002, 1.738277e+003
2.602524e+002, 1.738305e+003
2.607345e+002, 1.739067e+003
2.612166e+002, 1.739889e+003
2.616988e+002, 1.740029e+003
2.621809e+002, 1.739025e+003
2.626630e+002, 1.738707e+003
2.631451e+002, 1.739604e+003
2.636272e+002, 1.741566e+003
2.641093e+002, 1.743113e+003
2.645915e+002, 1.744170e+003
2.650736e+002, 1.745007e+003
2.655557e+002, 1.745700e+003
2.660378e+002, 1.745992e+003
2.665199e+002, 1.747130e+003
2.670020e+002, 1.749592e+003
2.674842e+002, 1.753050e+003
2.679663e+002, 1.755697e+003
2.684484e+002, 1.757387e+003
2.689305e+002, 1.758577e+003
2.694126e+002, 1.759528e+003
2.698947e+002, 1.760252e+003
2.703769e+002, 1.760656e+003
2.708590e+002, 1.760649e+003
2.713411e+002, 1.760348e+003
2.718232e+002, 1.759961e+003
2.723053e+002, 1.759242e+003
2.727874e+002, 1.759149e+003
2.732696e+002, 1.760570e+003
2.737517e+002, 1.763841e+003
2.742338e+002, 1.766307e+003
2.747159e+002, 1.767627e+003
2.751980e+002, 1.768261e+003
2.756801e+002, 1.769152e+003
2.761623e+002, 1.770287e+003
2.766444e+002, 1.771795e+003
2.771265e+002, 1.774007e+003
2.776086e+002, 1.777067e+003
2.780907e+002, 1.779357e+003
2.785728e+002, 1.780805e+003
2.790550e+002, 1.781578e+003
2.795371e+002, 1.781658e+003
2.800192e+002, 1.780901e+003
2.805013e+002, 1.780618e+003
2.809834e+002, 1.781425e+003
2.814655e+002, 1.783297e+003
2.819477e+002, 1.785737e+003
2.824298e+002, 1.788930e+003
2.829119e+002, 1.792075e+003
2.833940e+002, 1.793827e+003
2.838761e+002, 1.794127e+003
2.843582e+002, 1.794458e+003
2.848404e+002, 1.795230e+003
2.853225e+002, 1.796439e+003
2.858046e+002, 1.798390e+003
2.862867e+002, 1.801220e+003
2.867688e+002, 1.803999e+003
2.872509e+002, 1.805588e+003
2.877331e+002, 1.806056e+003
2.882152e+002, 1.806357e+003
2.886973e+002, 1.806775e+003
2.891794e+002, 1.807277e+003
2.896615e+002, 1.807733e+003
2.901436e+002, 1.808175e+003
2.906258e+002, 1.808550e+003
2.911079e+002, 1.808809e+003
2.915900e+002, 1.808987e+003
2.920721e+002, 1.809213e+003
2.925542e+002, 1.809640e+003
2.930363e+002, 1.810068e+003
2.935185e+002, 1.809549e+003
2.940006e+002, 1.808126e+003
2.944827e+002, 1.807671e+003
2.949648e+002, 1.810519e+003
2.954469e+002, 1.815594e+003
2.959290e+002, 1.819443e+003
2.964112e+002, 1.821231e+003
2.968933e+002, 1.821887e+003
2.973754e+002, 1.822392e+003
2.978575e+002, 1.822816e+003
2.983396e+002, 1.823731e+003
2.988217e+002, 1.826130e+003
2.993039e+002, 1.829175e+003
2.997860e+002, 1.831057e+003
3.002681e+002, 1.831352e+003
3.007502e+002, 1.831052e+003
3.012323e+002, 1.831264e+003
3.017144e+002, 1.831842e+003
3.021966e+002, 1.832291e+003
3.026787e+002, 1.832179e+003
3.031608e+002, 1.831847e+003
3.036429e+002, 1.831782e+003
3.041250e+002, 1.832047e+003
3.046071e+002, 1.832404e+003
3.050893e+002, 1.832678e+003
3.055714e+002, 1.832889e+003
3.060535e+002, 1.833064e+003
3.065356e+002, 1.833181e+003
3.070177e+002, 1.833296e+003
3.074998e+002, 1.833445e+003
3.079820e+002, 1.833637e+003
3.084641e+002, 1.833908e+003
3.089462e+002, 1.834409e+003
3.094283e+002, 1.834998e+003
3.099104e+002, 1.835469e+003
3.103925e+002, 1.835526e+003
3.108747e+002, 1.835648e+003
3.113568e+002, 1.836287e+003
3.118389e+002, 1.837383e+003
3.123210e+002, 1.838400e+003
3.128031e+002, 1.838411e+003
3.132852e+002, 1.838508e+003
3.137674e+002, 1.839843e+003
3.142495e+002, 1.843908e+003
3.147316e+002, 1.847703e+003
3.152137e+002, 1.849663e+003
3.156958e+002, 1.850095e+003
3.161779e+002, 1.850045e+003
3.166601e+002, 1.849164e+003
3.171422e+002, 1.848420e+003
3.176243e+002, 1.848412e+003
3.181064e+002, 1.849222e+003
3.185885e+002, 1.850775e+003
3.190706e+002, 1.853827e+003
3.195528e+002, 1.857541e+003
3.200349e+002, 1.860304e+003
3.205170e+002, 1.860984e+003
3.209991e+002, 1.861158e+003
3.214812e+002, 1.861377e+003
3.219633e+002, 1.861605e+003
3.224455e+002, 1.862239e+003
3.229276e+002, 1.863823e+003
3.234097e+002, 1.865715e+003
3.238918e+002, 1.867131e+003
3.243739e+002, 1.867290e+003
3.248560e+002, 1.867639e+003
3.253382e+002, 1.868664e+003
3.258203e+002, 1.870485e+003
3.263024e+002, 1.872151e+003
3.267845e+002, 1.874013e+003
3.272666e+002, 1.875512e+003
3.277487e+002, 1.876195e+003
3.282309e+002, 1.874891e+003
3.287130e+002, 1.874158e+003
3.291951e+002, 1.874381e+003
3.296772e+002, 1.875476e+003
3.301593e+002, 1.876615e+003
3.306414e+002, 1.877456e+003
3.311236e+002, 1.878629e+003
3.316057e+002, 1.880547e+003
3.320878e+002, 1.883961e+003
3.325699e+002, 1.886710e+003
3.330520e+002, 1.888498e+003
3.335341e+002, 1.889572e+003
3.340163e+002, 1.890611e+003
3.344984e+002, 1.891633e+003
3.349805e+002, 1.892540e+003
3.354626e+002, 1.893288e+003
3.359447e+002, 1.893863e+003
3.364268e+002, 1.894307e+003
3.369090e+002, 1.894429e+003
3.373911e+002, 1.894652e+003
3.378732e+002, 1.895842e+003
3.383553e+002, 1.898424e+003
3.388374e+002, 1.900552e+003
3.393195e+002, 1.901564e+003
3.398017e+002, 1.901509e+003
3.402838e+002, 1.901630e+003
3.407659e+002, 1.901971e+003
3.412480e+002, 1.902436e+003
3.417301e+002, 1.902938e+003
3.422122e+002, 1.903475e+003
3.426944e+002, 1.904010e+003
3.431765e+002, 1.904412e+003
3.436586e+002, 1.904846e+003
3.441407e+002, 1.906128e+003
3.446228e+002, 1.908334e+003
