##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
2.154155e+002, 8.690184e+003
2.158977e+002, 8.690635e+003
2.163798e+002, 8.691005e+003
2.168619e+002, 8.693321e+003
2.173440e+002, 8.697624e+003
2.178261e+002, 8.703449e+003
2.183082e+002, 8.711195e+003
2.187904e+002, 8.720150e+003
2.192725e+002, 8.728304e+003
2.197546e+002, 8.735646e+003
2.202367e+002, 8.742030e+003
2.207188e+002, 8.747576e+003
2.212009e+002, 8.753169e+003
2.216831e+002, 8.755650e+003
2.221652e+002, 8.753515e+003
2.226473e+002, 8.748816e+003
2.231294e+002, 8.747494e+003
2.236115e+002, 8.750692e+003
2.240936e+002, 8.755764e+003
2.245758e+002, 8.761927e+003
2.250579e+002, 8.770335e+003
2.255400e+002, 8.777279e+003
2.260221e+002, 8.782527e+003
2.265042e+002, 8.786472e+003
2.269863e+002, 8.789590e+003
2.274685e+002, 8.790419e+003
2.279506e+002, 8.792766e+003
2.284327e+002, 8.798566e+003
2.289148e+002, 8.809566e+003
2.293969e+002, 8.819796e+003
2.298790e+002, 8.828268e+003
2.303612e+002, 8.836064e+003
2.308433e+002, 8.846353e+003
2.313254e+002, 8.861413e+003
2.318075e+002, 8.875381e+003
2.322896e+002, 8.884882e+003
2.327717e+002, 8.885639e+003
2.332539e+002, 8.892574e+003
2.337360e+002, 8.909409e+003
2.342181e+002, 8.930814e+003
2.347002e+002, 8.944224e+003
2.351823e+002, 8.944565e+003
2.356644e+002, 8.944146e+003
2.361466e+002, 8.948020e+003
2.366287e+002, 8.958316e+003
2.371108e+002, 8.966896e+003
2.375929e+002, 8.973495e+003
2.380750e+002, 8.978347e+003
2.385571e+002, 8.981671e+003
2.390393e+002, 8.982566e+003
2.395214e+002, 8.983542e+003
2.400035e+002, 8.986253e+003
2.404856e+002, 8.993131e+003
2.409677e+002, 8.994426e+003
2.414498e+002, 8.986774e+003
2.419320e+002, 8.975585e+003
2.424141e+002, 8.970501e+003
2.428962e+002, 8.974640e+003
2.433783e+002, 8.980267e+003
2.438604e+002, 8.985346e+003
2.443425e+002, 8.990434e+003
2.448247e+002, 8.993402e+003
2.453068e+002, 8.993746e+003
2.457889e+002, 8.992407e+003
2.462710e+002, 8.990168e+003
2.467531e+002, 8.983980e+003
2.472352e+002, 8.982059e+003
2.477174e+002, 8.987946e+003
2.481995e+002, 9.003526e+003
2.486816e+002, 9.016454e+003
2.491637e+002, 9.025280e+003
2.496458e+002, 9.032379e+003
2.501279e+002, 9.041479e+003
2.506101e+002, 9.055275e+003
2.510922e+002, 9.065846e+003
2.515743e+002, 9.069799e+003
2.520564e+002, 9.065828e+003
2.525385e+002, 9.065353e+003
2.530206e+002, 9.069787e+003
2.535028e+002, 9.076439e+003
2.539849e+002, 9.082000e+003
2.544670e+002, 9.086244e+003
2.549491e+002, 9.090141e+003
2.554312e+002, 9.094053e+003
2.559133e+002, 9.098021e+003
2.563955e+002, 9.101220e+003
2.568776e+002, 9.103756e+003
2.573597e+002, 9.105386e+003
2.578418e+002, 9.105105e+003
2.583239e+002, 9.100431e+003
2.588061e+002, 9.099717e+003
2.592882e+002, 9.105792e+003
2.597703e+002, 9.118530e+003
2.602524e+002, 9.128822e+003
2.607345e+002, 9.136649e+003
2.612166e+002, 9.142194e+003
2.616988e+002, 9.144822e+003
2.621809e+002, 9.142290e+003
2.626630e+002, 9.143579e+003
2.631451e+002, 9.152295e+003
2.636272e+002, 9.167132e+003
2.641093e+002, 9.174288e+003
2.645915e+002, 9.170649e+003
2.650736e+002, 9.165150e+003
2.655557e+002, 9.165904e+003
2.660378e+002, 9.176060e+003
2.665199e+002, 9.181005e+003
2.670020e+002, 9.176206e+003
2.674842e+002, 9.164629e+003
2.679663e+002, 9.162324e+003
2.684484e+002, 9.172140e+003
2.689305e+002, 9.184518e+003
2.694126e+002, 9.192998e+003
2.698947e+002, 9.196991e+003
2.703769e+002, 9.199466e+003
2.708590e+002, 9.199916e+003
2.713411e+002, 9.199359e+003
2.718232e+002, 9.201181e+003
2.723053e+002, 9.205717e+003
2.727874e+002, 9.211437e+003
2.732696e+002, 9.218082e+003
2.737517e+002, 9.226058e+003
2.742338e+002, 9.231603e+003
2.747159e+002, 9.233444e+003
2.751980e+002, 9.233860e+003
2.756801e+002, 9.239405e+003
2.761623e+002, 9.251828e+003
2.766444e+002, 9.261897e+003
2.771265e+002, 9.262797e+003
2.776086e+002, 9.253494e+003
2.780907e+002, 9.251135e+003
2.785728e+002, 9.257851e+003
2.790550e+002, 9.268989e+003
2.795371e+002, 9.277223e+003
2.800192e+002, 9.282592e+003
2.805013e+002, 9.284625e+003
2.809834e+002, 9.280092e+003
2.814655e+002, 9.269321e+003
2.819477e+002, 9.267892e+003
2.824298e+002, 9.277168e+003
2.829119e+002, 9.291884e+003
2.833940e+002, 9.305771e+003
2.838761e+002, 9.318723e+003
2.843582e+002, 9.330262e+003
2.848404e+002, 9.340337e+003
2.853225e+002, 9.348721e+003
2.858046e+002, 9.354083e+003
2.862867e+002, 9.355947e+003
2.867688e+002, 9.356487e+003
2.872509e+002, 9.358301e+003
2.877331e+002, 9.361266e+003
2.882152e+002, 9.363437e+003
2.886973e+002, 9.364064e+003
2.891794e+002, 9.363656e+003
2.896615e+002, 9.363503e+003
2.901436e+002, 9.363693e+003
2.906258e+002, 9.364600e+003
2.911079e+002, 9.367047e+003
2.915900e+002, 9.370857e+003
2.920721e+002, 9.374634e+003
2.925542e+002, 9.378356e+003
2.930363e+002, 9.381759e+003
2.935185e+002, 9.383707e+003
2.940006e+002, 9.384295e+003
2.944827e+002, 9.385212e+003
2.949648e+002, 9.386950e+003
2.954469e+002, 9.389939e+003
2.959290e+002, 9.396026e+003
2.964112e+002, 9.406760e+003
2.968933e+002, 9.418487e+003
2.973754e+002, 9.424700e+003
2.978575e+002, 9.426075e+003
2.983396e+002, 9.427438e+003
2.988217e+002, 9.430376e+003
2.993039e+002, 9.435591e+003
2.997860e+002, 9.444994e+003
3.002681e+002, 9.459500e+003
3.007502e+002, 9.475994e+003
3.012323e+002, 9.492946e+003
3.017144e+002, 9.509407e+003
3.021966e+002, 9.521310e+003
3.026787e+002, 9.523058e+003
3.031608e+002, 9.520518e+003
