##NAMES=Crandallite
##RRUFFID=R140429
##IDEAL CHEMISTRY=CaAl_3_(PO_4_)(PO_3_OH)(OH)_6_
##LOCALITY=Savannah Pit, Tyrone mine, Grant County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Colorless, hexagonal platy crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140429
534.9865, 0.8110960
535.4686, 9.1339000E-02
535.9507, 5.1422000E-02
536.4328, 0.8218690
536.9149, 1.444641
537.3970, 1.037689
537.8792, 0.3242800
538.3613, 0.1692500
538.8434, 0.8005680
539.3255, 1.320587
539.8076, 0.8891300
540.2897, 0.1502690
540.7719, 0.9747920
541.2540, 1.513092
541.7361, 1.597839
542.2182, 0.8793950
542.7003, 0.4133300
543.1824, 1.131500
543.6646, 0.8010560
544.1467, 0.5246280
544.6288, 0.7171940
545.1109, 1.159943
545.5930, 1.605530
546.0751, 1.983948
546.5573, 2.241425
547.0394, 2.252594
547.5215, 2.030762
548.0036, 2.360779
548.4857, 4.044189
548.9678, 5.245422
549.4500, 5.323029
549.9321, 4.902863
550.4142, 4.627502
550.8963, 4.676758
551.3784, 4.898468
551.8605, 5.212433
552.3427, 5.598846
552.8248, 5.775482
553.3069, 5.731232
553.7890, 5.438507
554.2711, 4.553986
554.7532, 3.573944
555.2354, 3.285431
555.7175, 4.014526
556.1996, 4.910461
556.6817, 5.479706
557.1638, 5.817200
557.6459, 6.163696
558.1281, 6.565582
558.6102, 6.917786
559.0923, 7.185638
559.5744, 7.319855
560.0565, 6.946594
560.5386, 5.462708
561.0208, 4.377869
561.5029, 4.333069
561.9850, 4.680054
562.4671, 4.706024
562.9492, 4.284180
563.4313, 3.793823
563.9135, 3.655548
564.3956, 3.860901
564.8777, 3.852722
565.3598, 3.287964
565.8419, 3.067505
566.3240, 3.680542
566.8062, 4.611694
567.2883, 5.402557
567.7704, 5.958771
568.2525, 6.188934
568.7346, 5.827484
569.2167, 5.096863
569.6989, 4.623535
570.1810, 4.479370
570.6631, 4.437256
571.1452, 4.381775
571.6273, 4.313293
572.1094, 4.229492
572.5916, 4.057617
573.0737, 4.001312
573.5558, 4.242798
574.0379, 4.551727
574.5200, 4.568054
575.0021, 4.327484
575.4843, 4.286224
575.9664, 4.833130
576.4485, 5.867828
576.9306, 6.788483
577.4127, 7.499603
577.8948, 8.235138
578.3770, 9.498413
578.8591, 10.44101
579.3412, 9.927460
579.8233, 8.203735
580.3054, 7.068970
580.7875, 8.256073
581.2697, 10.79999
581.7518, 12.28229
582.2339, 12.63031
582.7161, 12.58636
583.1982, 12.31619
583.6803, 11.91064
584.1624, 11.51526
584.6445, 11.13721
585.1266, 10.70639
585.6088, 9.960083
586.0909, 9.348267
586.5730, 9.355194
587.0551, 9.874420
587.5372, 10.43597
588.0193, 10.78473
588.5015, 11.11124
588.9836, 11.87775
589.4657, 13.50085
589.9478, 14.65665
590.4299, 14.91260
590.9120, 15.13626
591.3942, 15.75345
591.8763, 16.77243
592.3584, 17.97040
592.8405, 19.25925
593.3226, 20.69217
593.8047, 22.57068
594.2869, 24.88049
594.7690, 26.36417
595.2511, 26.37299
595.7332, 26.26636
596.2153, 27.26486
596.6974, 29.12851
597.1796, 31.15314
597.6617, 33.27542
598.1438, 35.49442
598.6259, 37.97491
599.1080, 40.46844
599.5901, 42.59106
600.0723, 44.28326
600.5544, 45.55618
601.0365, 46.31113
601.5186, 46.53442
602.0007, 47.08649
602.4828, 48.74475
602.9650, 49.78522
603.4471, 49.42838
603.9292, 48.61847
604.4113, 48.33972
604.8934, 48.74380
605.3755, 49.21036
605.8577, 49.11145
606.3398, 48.63297
606.8219, 48.59091
607.3040, 49.13058
607.7861, 49.27258
608.2682, 48.52032
608.7504, 47.12231
609.2325, 45.40060
609.7146, 43.17319
610.1967, 41.59036
610.6788, 41.69965
611.1609, 42.07956
611.6431, 41.42325
612.1252, 39.86386
612.6073, 38.12521
613.0894, 36.56323
613.5715, 35.02979
614.0536, 33.19107
614.5358, 30.79590
615.0179, 28.81061
615.5000, 27.51242
615.9821, 26.42767
616.4642, 25.29376
616.9464, 24.13190
617.4285, 23.17374
617.9106, 22.71942
618.3927, 22.25977
618.8748, 20.96082
619.3569, 19.06650
619.8391, 17.90805
620.3212, 17.84808
620.8033, 17.96945
621.2854, 17.70322
621.7675, 16.99411
622.2496, 15.71201
622.7318, 12.86429
623.2139, 10.74039
623.6960, 10.37378
624.1781, 10.80511
624.6602, 11.12933
625.1423, 11.18066
625.6245, 11.16495
626.1066, 11.28110
626.5887, 11.41968
627.0708, 11.02426
627.5529, 9.815491
628.0350, 8.758453
628.5172, 7.917633
628.9993, 7.396271
629.4814, 7.364410
629.9635, 7.760040
630.4456, 8.268433
630.9277, 8.938080
631.4099, 9.499786
631.8920, 9.679321
632.3741, 9.499054
632.8562, 8.960022
633.3383, 8.026459
633.8204, 7.038177
634.3026, 6.474426
634.7847, 6.396759
635.2668, 6.320374
635.7489, 6.155304
636.2310, 6.012787
636.7131, 5.949493
637.1953, 5.890594
637.6774, 5.696869
638.1595, 5.385010
638.6416, 5.252686
639.1237, 5.834991
639.6058, 6.856689
640.0880, 6.655334
640.5701, 4.774292
641.0522, 3.544067
641.5343, 4.412689
642.0164, 5.967926
642.4985, 6.287628
642.9807, 5.300934
643.4628, 4.214630
643.9449, 2.874603
644.4270, 1.981110
644.9091, 2.418274
645.3912, 3.766754
645.8734, 4.968750
646.3555, 5.590057
646.8376, 5.743164
647.3197, 5.562225
647.8018, 5.005157
648.2839, 4.326324
648.7661, 3.159088
649.2482, 2.325470
649.7303, 2.299988
650.2124, 2.626068
650.6945, 2.725586
651.1766, 2.465210
651.6588, 2.171783
652.1409, 2.020630
652.6230, 2.031403
653.1051, 2.402191
653.5872, 3.122528
654.0693, 3.488281
654.5515, 2.972626
655.0336, 2.147247
655.5157, 2.265778
655.9978, 4.010559
656.4799, 5.097198
656.9620, 5.291168
657.4442, 5.045776
657.9263, 4.225220
658.4084, 3.230377
658.8905, 2.759094
659.3726, 3.095581
659.8547, 3.683838
660.3369, 3.831146
660.8190, 3.553375
661.3011, 3.063324
661.7832, 2.268127
662.2653, 1.555786
662.7474, 1.150177
663.2296, 0.9678960
663.7117, 0.8570560
664.1938, 0.8597110
664.6759, 0.7801820
665.1580, 0.3391110
665.6401, 4.5226999E-02
666.1223, 0.2830510
666.6044, 1.044312
667.0865, 1.190460
667.5686, 0.1534420
668.0507, 1.320679
668.5328, 1.727631
669.0150, 0.7308350
669.4971, 0.1289980
669.9792, 0.2370610
670.4613, 0.3842470
670.9434, 0.1892400
671.4255, 0.1249080
671.9077, 0.2268680
672.3898, 4.2725001E-02
672.8719, 0.3193660
673.3540, 1.244263
673.8361, 2.091492
674.3182, 1.489380
674.8004, 0.4332280
675.2825, 1.858154
675.7646, 1.687592
676.2467, 0.5840760
676.7288, 5.3955000E-02
677.2109, 0.3168330
677.6931, 0.6382450
678.1752, 0.9161380
678.6573, 1.356506
679.1394, 2.359039
679.6215, 3.483765
680.1036, 3.959625
680.5858, 3.496887
681.0679, 2.766174
681.5500, 2.212158
682.0321, 1.910248
682.5142, 2.182159
682.9963, 3.074921
683.4785, 4.067627
683.9606, 4.969727
684.4427, 5.680634
684.9248, 5.962067
685.4069, 5.705902
685.8890, 5.250458
686.3712, 4.230652
686.8533, 3.393341
687.3354, 3.287750
687.8175, 3.614960
688.2996, 3.904022
688.7817, 3.974121
689.2639, 3.686249
689.7460, 2.561279
690.2281, 0.8082890
690.7102, 5.0659001E-02
691.1923, 0.5978700
691.6744, 1.028503
692.1566, 0.5028380
692.6387, 0.4752810
693.1208, 0.9100950
693.6029, 0.7025450
694.0850, 0.2422790
694.5671, 0.3887940
695.0493, 1.179596
695.5314, 2.443726
696.0135, 3.831787
696.4956, 4.646393
696.9777, 4.639008
697.4598, 4.143890
697.9420, 3.356201
698.4241, 2.312775
698.9062, 2.043640
699.3883, 2.794434
699.8704, 3.574921
700.3525, 3.981354
700.8347, 4.149902
701.3168, 4.348602
701.7989, 4.628021
702.2810, 4.656036
702.7631, 3.971375
703.2452, 3.369720
703.7274, 3.592773
704.2095, 4.267426
704.6916, 4.558746
705.1737, 4.217255
705.6558, 3.686096
706.1379, 3.403839
706.6201, 3.383728
707.1022, 4.098785
707.5843, 6.308197
708.0664, 7.436371
708.5485, 5.516815
709.0306, 3.007782
709.5128, 2.414886
709.9949, 3.632782
710.4770, 4.351624
710.9591, 3.365814
711.4412, 2.086700
711.9233, 1.433685
712.4055, 1.263336
712.8876, 1.344635
713.3697, 1.595215
713.8518, 1.902924
714.3339, 2.160614
714.8160, 2.379639
715.2982, 2.662842
715.7803, 3.183563
716.2624, 3.360413
716.7445, 2.635773
717.2266, 1.907959
717.7087, 1.834351
718.1909, 2.307068
718.6730, 2.815979
719.1551, 3.222168
719.6372, 3.585632
720.1193, 4.102753
720.6014, 4.542999
721.0836, 4.342743
721.5657, 3.510834
722.0478, 2.830963
722.5299, 2.934052
723.0120, 3.546783
723.4941, 3.668976
723.9763, 3.126526
724.4584, 2.620758
724.9405, 1.988373
725.4226, 1.656860
725.9047, 1.929504
726.3868, 2.618713
726.8690, 3.328644
727.3511, 4.008209
727.8332, 4.374329
728.3153, 4.081818
728.7974, 3.521362
729.2795, 3.219238
729.7617, 3.154907
730.2438, 2.953094
730.7259, 2.370697
731.2080, 1.662445
731.6901, 1.520905
732.1722, 2.323730
732.6544, 2.607178
733.1365, 1.705658
733.6186, 0.9543150
734.1007, 0.8446660
734.5828, 1.194702
735.0649, 1.998444
735.5471, 3.313812
736.0292, 4.190948
736.5113, 3.786469
736.9934, 3.056061
737.4755, 2.964172
737.9576, 3.358856
738.4398, 3.687592
738.9219, 3.754242
739.4040, 3.737671
739.8861, 3.892242
