##NAMES=Danielsite
##RRUFFID=R070419
##IDEAL CHEMISTRY=(Cu,Ag)_14_HgS_8_
##LOCALITY=Coppin Pool, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Gray metallic microblebs associated with cerussite and quartz, author's specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070419
663.8594, 315.6683
664.3416, 298.6556
664.8237, 332.9059
665.3058, 366.5347
665.7879, 365.1399
666.2700, 339.1691
666.7521, 322.0482
667.2343, 326.9399
667.7164, 334.0409
668.1985, 338.6422
668.6806, 340.7869
669.1627, 337.6368
669.6448, 325.2275
670.1270, 316.4083
670.6091, 322.1920
671.0912, 341.7559
671.5733, 355.1920
672.0554, 361.6355
672.5375, 365.6794
673.0197, 375.2926
673.5018, 385.0830
673.9839, 383.2805
674.4660, 362.2872
674.9481, 340.8140
675.4302, 332.4744
675.9124, 331.0720
676.3945, 327.1625
676.8766, 316.5308
677.3587, 304.9243
677.8408, 290.6426
678.3229, 276.2035
678.8051, 270.3855
679.2872, 278.4874
679.7693, 281.4275
680.2514, 268.5526
680.7335, 245.3005
681.2156, 244.2034
681.6978, 265.6327
682.1799, 284.7111
682.6620, 281.9280
683.1441, 267.7721
683.6262, 256.2306
684.1083, 247.8857
684.5905, 241.5265
685.0726, 237.7385
685.5547, 233.9039
686.0368, 227.4209
686.5189, 216.2579
687.0010, 207.8219
687.4832, 203.6167
687.9653, 201.0643
688.4474, 198.6460
688.9295, 198.4218
689.4116, 192.4323
689.8937, 177.5447
690.3759, 159.6385
690.8580, 151.4597
691.3401, 152.0803
691.8222, 150.0879
692.3043, 138.6886
692.7864, 124.8853
693.2686, 117.4468
693.7507, 115.8989
694.2328, 118.5580
694.7149, 132.0365
695.1970, 143.0789
695.6791, 143.5109
696.1613, 132.8959
696.6434, 119.6256
697.1255, 104.3317
697.6076, 87.98560
698.0897, 68.33545
698.5718, 43.02429
699.0540, 34.25000
699.5361, 45.13452
700.0182, 63.09351
700.5003, 81.25110
700.9824, 97.55627
701.4645, 100.1719
701.9467, 85.97144
702.4288, 67.12109
702.9109, 52.91077
703.3930, 42.59460
703.8751, 34.97742
704.3572, 29.70044
704.8394, 28.28345
705.3215, 36.50598
705.8036, 48.06628
706.2857, 50.26807
706.7678, 31.94275
707.2499, 21.61609
707.7321, 27.81763
708.2142, 44.28052
708.6963, 49.18311
709.1784, 42.04346
709.6605, 32.66040
710.1426, 24.86865
710.6248, 19.15393
711.1069, 17.99573
711.5890, 20.49280
712.0711, 20.62122
712.5532, 10.60901
713.0353, 0.2286380
713.5175, 3.379639
713.9996, 1.663452
714.4817, 4.567017
714.9638, 2.452637
715.4459, 7.458252
715.9280, 1.808105
716.4102, 21.77466
716.8923, 30.59277
717.3744, 20.17529
717.8565, 3.532471
718.3386, 9.198364
718.8207, 17.54382
719.3029, 14.68945
719.7850, 3.336182
720.2671, 20.50867
720.7492, 11.36438
721.2313, 10.66211
721.7134, 20.41016
722.1956, 2.420532
722.6777, 20.97473
723.1598, 10.88196
723.6419, 14.09949
724.1240, 26.87903
724.6061, 12.72510
725.0883, 1.245850
725.5704, 2.290283
726.0525, 4.8340000E-02
726.5346, 0.8496090
727.0167, 0.1573490
727.4988, 0.1303710
727.9810, 3.395508
728.4631, 7.108276
728.9452, 1.434937
729.4273, 11.75818
729.9094, 20.46765
730.3915, 12.44019
730.8737, 0.4208980
731.3558, 5.211304
731.8379, 3.737427
732.3200, 2.664673
732.8021, 6.804810
733.2842, 9.462524
733.7664, 6.752441
734.2485, 2.809570
734.7306, 10.29431
735.2127, 15.28027
735.6948, 19.26099
736.1769, 24.24426
736.6591, 29.52319
737.1412, 30.13916
737.6233, 24.99841
738.1054, 19.96277
738.5875, 25.20142
739.0696, 32.70593
739.5518, 30.07031
740.0339, 8.765137
740.5161, 11.65601
740.9982, 28.76160
741.4803, 38.95459
741.9624, 35.78076
742.4445, 4.651367
742.9266, 11.84644
743.4088, 3.958130
743.8909, 15.59546
744.3730, 21.69299
744.8551, 14.22046
745.3372, 5.164429
745.8193, 2.280762
746.3015, 8.906128
746.7836, 17.46497
747.2657, 26.38196
747.7478, 31.20020
748.2299, 26.15222
748.7120, 19.70959
749.1942, 16.42871
749.6763, 15.80969
750.1584, 14.66406
750.6405, 11.00623
751.1226, 8.950195
751.6047, 10.66870
752.0869, 15.55261
752.5690, 15.07300
