##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
3.079583e+002, 4.661271e+001
3.084404e+002, 4.611663e+001
3.089225e+002, 4.602448e+001
3.094047e+002, 4.608529e+001
3.098868e+002, 4.600719e+001
3.103689e+002, 4.573397e+001
3.108510e+002, 4.550719e+001
3.113331e+002, 4.569085e+001
3.118152e+002, 4.656860e+001
3.122974e+002, 4.695333e+001
3.127795e+002, 4.616180e+001
3.132616e+002, 4.539473e+001
3.137437e+002, 4.578942e+001
3.142258e+002, 4.728182e+001
3.147079e+002, 4.862960e+001
3.151901e+002, 4.856906e+001
3.156722e+002, 4.687195e+001
3.161543e+002, 4.609207e+001
3.166364e+002, 4.701928e+001
3.171185e+002, 4.797514e+001
3.176006e+002, 4.797432e+001
3.180828e+002, 4.724810e+001
3.185649e+002, 4.668431e+001
3.190470e+002, 4.691921e+001
3.195291e+002, 4.785557e+001
3.200112e+002, 4.845132e+001
3.204933e+002, 4.869650e+001
3.209755e+002, 4.868573e+001
3.214576e+002, 4.826770e+001
3.219397e+002, 4.763315e+001
3.224218e+002, 4.709032e+001
3.229039e+002, 4.678975e+001
3.233860e+002, 4.668497e+001
3.238682e+002, 4.664679e+001
3.243503e+002, 4.666737e+001
3.248324e+002, 4.676591e+001
3.253145e+002, 4.700811e+001
3.257966e+002, 4.730201e+001
3.262787e+002, 4.757288e+001
3.267609e+002, 4.779232e+001
3.272430e+002, 4.793404e+001
3.277251e+002, 4.797431e+001
3.282072e+002, 4.803393e+001
3.286893e+002, 4.766140e+001
3.291714e+002, 4.621424e+001
3.296536e+002, 4.480006e+001
3.301357e+002, 4.439539e+001
3.306178e+002, 4.503291e+001
3.310999e+002, 4.590432e+001
3.315820e+002, 4.616434e+001
3.320641e+002, 4.569241e+001
3.325463e+002, 4.527516e+001
3.330284e+002, 4.508581e+001
3.335105e+002, 4.477845e+001
3.339926e+002, 4.404042e+001
3.344747e+002, 4.302041e+001
3.349568e+002, 4.209212e+001
3.354390e+002, 4.149766e+001
3.359211e+002, 4.124654e+001
3.364032e+002, 4.155689e+001
3.368853e+002, 4.313010e+001
3.373674e+002, 4.444260e+001
3.378495e+002, 4.512293e+001
3.383317e+002, 4.535022e+001
3.388138e+002, 4.541252e+001
3.392959e+002, 4.545079e+001
3.397780e+002, 4.540865e+001
3.402601e+002, 4.511541e+001
3.407422e+002, 4.412535e+001
3.412244e+002, 4.348726e+001
3.417065e+002, 4.344117e+001
3.421886e+002, 4.363799e+001
3.426707e+002, 4.375965e+001
3.431528e+002, 4.372371e+001
3.436349e+002, 4.366624e+001
3.441171e+002, 4.380006e+001
3.445992e+002, 4.424874e+001
3.450813e+002, 4.457204e+001
3.455634e+002, 4.517554e+001
3.460455e+002, 4.535189e+001
3.465276e+002, 4.417813e+001
3.470098e+002, 4.201343e+001
3.474919e+002, 4.030166e+001
3.479740e+002, 4.051547e+001
3.484561e+002, 4.279473e+001
3.489382e+002, 4.428054e+001
3.494203e+002, 4.464759e+001
3.499025e+002, 4.454158e+001
3.503846e+002, 4.374250e+001
3.508667e+002, 4.263538e+001
3.513488e+002, 4.187683e+001
3.518309e+002, 4.190707e+001
3.523130e+002, 4.245183e+001
3.527952e+002, 4.233466e+001
3.532773e+002, 4.041380e+001
3.537594e+002, 3.958484e+001
3.542415e+002, 4.127727e+001
3.547236e+002, 4.366514e+001
3.552057e+002, 4.488066e+001
3.556879e+002, 4.432524e+001
3.561700e+002, 4.285522e+001
3.566521e+002, 4.170592e+001
3.571342e+002, 4.069768e+001
3.576163e+002, 4.054921e+001
3.580984e+002, 4.238762e+001
3.585806e+002, 4.420084e+001
3.590627e+002, 4.467260e+001
3.595448e+002, 4.385441e+001
3.600269e+002, 4.279985e+001
3.605090e+002, 4.254564e+001
3.609911e+002, 4.312702e+001
3.614733e+002, 4.344708e+001
3.619554e+002, 4.337450e+001
3.624375e+002, 4.315978e+001
3.629196e+002, 4.273952e+001
3.634017e+002, 4.226448e+001
3.638839e+002, 4.202942e+001
3.643660e+002, 4.227270e+001
3.648481e+002, 4.279980e+001
3.653302e+002, 4.301514e+001
3.658123e+002, 4.277793e+001
3.662944e+002, 4.252964e+001
3.667766e+002, 4.221692e+001
3.672587e+002, 4.205340e+001
3.677408e+002, 4.240441e+001
3.682229e+002, 4.344022e+001
3.687050e+002, 4.447965e+001
3.691871e+002, 4.448327e+001
3.696692e+002, 4.331823e+001
3.701513e+002, 4.256715e+001
3.706335e+002, 4.300586e+001
3.711156e+002, 4.359190e+001
3.715977e+002, 4.354945e+001
3.720798e+002, 4.288499e+001
3.725619e+002, 4.212743e+001
3.730440e+002, 4.154044e+001
3.735262e+002, 4.113895e+001
3.740083e+002, 4.101814e+001
3.744904e+002, 4.126022e+001
3.749725e+002, 4.164051e+001
3.754546e+002, 4.219046e+001
3.759367e+002, 4.275942e+001
3.764189e+002, 4.298364e+001
3.769010e+002, 4.256268e+001
3.773831e+002, 4.185866e+001
3.778652e+002, 4.128575e+001
3.783473e+002, 4.083577e+001
3.788294e+002, 4.063493e+001
3.793116e+002, 4.078554e+001
3.797937e+002, 4.122818e+001
3.802758e+002, 4.191413e+001
3.807579e+002, 4.301085e+001
3.812400e+002, 4.389453e+001
3.817221e+002, 4.407430e+001
